model,epoch,train_loss,validation_loss,weight_size,regularization_strength
without_regularization,1,1.20,1.18,1.80,0.00
without_regularization,2,1.02,1.00,2.10,0.00
without_regularization,3,0.88,0.86,2.45,0.00
without_regularization,4,0.76,0.75,2.82,0.00
without_regularization,5,0.66,0.67,3.20,0.00
without_regularization,6,0.57,0.61,3.60,0.00
without_regularization,7,0.49,0.57,4.02,0.00
without_regularization,8,0.43,0.55,4.42,0.00
without_regularization,9,0.38,0.56,4.80,0.00
without_regularization,10,0.34,0.58,5.12,0.00
without_regularization,11,0.31,0.60,5.40,0.00
without_regularization,12,0.28,0.63,5.68,0.00
without_regularization,13,0.26,0.66,5.92,0.00
without_regularization,14,0.24,0.68,6.14,0.00
without_regularization,15,0.22,0.70,6.32,0.00
without_regularization,16,0.21,0.72,6.48,0.00
without_regularization,17,0.20,0.73,6.60,0.00
without_regularization,18,0.19,0.74,6.70,0.00
with_l2_regularization,1,1.23,1.19,1.70,0.08
with_l2_regularization,2,1.08,1.04,1.88,0.08
with_l2_regularization,3,0.96,0.91,2.05,0.08
with_l2_regularization,4,0.85,0.80,2.20,0.08
with_l2_regularization,5,0.75,0.71,2.35,0.08
with_l2_regularization,6,0.67,0.64,2.48,0.08
with_l2_regularization,7,0.60,0.58,2.60,0.08
with_l2_regularization,8,0.54,0.53,2.72,0.08
with_l2_regularization,9,0.49,0.50,2.82,0.08
with_l2_regularization,10,0.45,0.48,2.90,0.08
with_l2_regularization,11,0.42,0.46,2.97,0.08
with_l2_regularization,12,0.39,0.45,3.03,0.08
with_l2_regularization,13,0.37,0.45,3.08,0.08
with_l2_regularization,14,0.36,0.46,3.12,0.08
with_l2_regularization,15,0.35,0.46,3.15,0.08
with_l2_regularization,16,0.34,0.46,3.17,0.08
with_l2_regularization,17,0.33,0.47,3.19,0.08
with_l2_regularization,18,0.33,0.47,3.20,0.08
