case_id,case_name,failure_family,step,error,retry_count,max_retries,cached_summary_available,trace_saved,human_review_available,grounding_available,approval_required
case_001,timeout_retry_search,system,search_docs,timeout,0,2,yes,yes,yes,yes,no
case_002,timeout_fallback_search,system,search_docs,timeout,2,2,yes,yes,yes,yes,no
case_003,timeout_stop_search,system,search_docs,timeout,2,2,no,yes,yes,no,no
case_004,rate_limit_retry_tool,system,call_api,rate_limit,1,3,no,yes,yes,no,no
case_005,rate_limit_fallback_cache,system,call_api,rate_limit,3,3,yes,yes,yes,yes,no
case_006,rate_limit_stop_no_cache,system,call_api,rate_limit,3,3,no,yes,yes,no,no
case_007,permission_stop_file,system,read_file,permission_error,0,1,no,yes,yes,no,no
case_008,permission_approval_send,system,send_email,permission_error,0,1,no,yes,yes,no,yes
case_009,risky_action_approval_delete,system,delete_file,risky_action,0,0,no,yes,yes,no,yes
case_010,risky_action_stop_no_reviewer,system,update_database,risky_action,0,0,no,yes,no,no,yes
case_011,tool_not_found_stop,system,call_tool,tool_not_found,0,1,no,yes,yes,no,no
case_012,tool_unavailable_retry,system,call_tool,tool_unavailable,0,2,no,yes,yes,no,no
case_013,tool_unavailable_fallback,system,call_tool,tool_unavailable,2,2,yes,yes,yes,yes,no
case_014,retrieval_miss_fallback,system,search_docs,retrieval_miss,0,1,yes,yes,yes,yes,no
case_015,retrieval_miss_review,system,search_docs,retrieval_miss,1,1,no,yes,yes,yes,no
case_016,missing_trace_stop,system,run_agent,missing_trace,0,1,no,no,yes,no,no
case_017,api_error_retry,system,call_api,api_error,0,2,no,yes,yes,no,no
case_018,api_error_stop,system,call_api,api_error,2,2,no,yes,yes,no,no
case_019,cache_stale_review,system,read_cache,cache_stale,0,1,yes,yes,yes,yes,no
case_020,queue_overload_fallback,system,route_request,queue_overload,2,2,yes,yes,yes,yes,no
case_021,queue_overload_retry,system,route_request,queue_overload,0,2,no,yes,yes,no,no
case_022,hallucination_review_grounded,model,answer_generation,hallucination,0,1,no,yes,yes,yes,no
case_023,hallucination_stop_ungrounded,model,answer_generation,hallucination,0,1,no,yes,yes,no,no
case_024,wrong_citation_review,model,answer_generation,wrong_citation,0,1,no,yes,yes,yes,no
case_025,wrong_citation_stop_no_grounding,model,answer_generation,wrong_citation,0,1,no,yes,yes,no,no
case_026,format_fix_parser,model,answer_generation,format_mismatch,0,1,no,yes,no,yes,no
case_027,format_fix_json,model,answer_generation,format_mismatch,0,1,no,yes,yes,yes,no
case_028,overlong_answer_fix,model,answer_generation,overlong_answer,0,1,no,yes,no,yes,no
case_029,unsafe_claim_stop,model,answer_generation,unsafe_claim,0,0,no,yes,yes,no,no
case_030,ambiguous_answer_review,model,answer_generation,ambiguous_answer,0,1,no,yes,yes,yes,no
case_031,grounding_gap_review,model,answer_generation,grounding_gap,0,1,no,yes,yes,yes,no
case_032,grounding_gap_stop,model,answer_generation,grounding_gap,0,1,no,yes,no,no,no
case_033,tool_argument_format_fix,model,tool_argument,format_mismatch,0,1,no,yes,yes,yes,no
case_034,unverified_number_review,model,answer_generation,unverified_number,0,1,no,yes,yes,yes,no
case_035,policy_tone_fix,model,answer_generation,tone_mismatch,0,1,no,yes,no,yes,no
case_036,unsupported_instruction_stop,model,answer_generation,unsupported_instruction,0,0,no,yes,yes,no,no
