student_id,region,study_hours,absences,practice_quizzes,score,passed
S001,Seoul,8.0,1,9,86,yes
S002,Seoul,6.5,2,7,78,yes
S003,Seoul,3.0,5,4,61,no
S004,Seoul,7.5,0,8,84,yes
S005,Seoul,4.0,4,5,68,no
S006,Seoul,9.0,1,10,92,yes
S007,Seoul,5.5,3,6,73,yes
S008,Seoul,2.0,6,3,55,no
S009,Seoul,6.0,2,7,76,yes
S010,Busan,7.0,1,8,81,yes
S011,Busan,4.5,4,5,66,no
S012,Busan,3.5,5,4,59,no
S013,Busan,8.5,0,9,88,yes
S014,Busan,5.0,3,6,71,yes
S015,Busan,2.5,7,2,49,no
S016,Busan,6.5,2,7,77,yes
S017,Busan,4.0,5,5,64,no
S018,Busan,9.0,1,10,91,yes
S019,Daegu,5.5,2,6,74,yes
S020,Daegu,3.0,6,3,57,no
S021,Daegu,7.5,1,8,82,yes
S022,Daegu,4.5,4,5,69,no
S023,Daegu,8.0,0,9,85,yes
S024,Daegu,2.0,7,2,46,no
S025,Daegu,6.0,3,7,75,yes
S026,Daegu,5.0,4,5,70,yes
S027,Gwangju,7.0,2,8,80,yes
S028,Gwangju,3.5,5,4,62,no
S029,Gwangju,8.5,1,9,89,yes
S030,Gwangju,4.0,6,4,58,no
S031,Gwangju,6.5,2,7,79,yes
S032,Gwangju,2.5,7,3,51,no
S033,Gwangju,5.5,4,6,72,yes
S034,Gwangju,9.0,0,10,94,yes
S035,Gwangju,4.5,5,5,67,no
S036,Gwangju,6.0,3,7,76,yes
