event_id,line_id,mode,length,window
E01,L1,baseline,100,30
E02,L1,baseline,96,30
E03,L1,baseline,92,30
E04,L1,baseline,88,30
E05,L1,baseline,84,30
E06,L1,baseline,80,30
E07,L1,recent,110,30
E08,L1,recent,104,30
E09,L1,recent,98,30
E10,L1,recent,92,30
E11,L1,recent,86,30
E12,L1,recent,78,30
E13,L2,baseline,120,40
E14,L2,baseline,112,40
E15,L2,baseline,104,40
E16,L2,baseline,96,40
E17,L2,baseline,88,40
E18,L2,baseline,80,40
E19,L2,recent,126,40
E20,L2,recent,118,40
E21,L2,recent,110,40
E22,L2,recent,102,40
E23,L2,recent,94,40
E24,L2,recent,86,40
E25,L3,baseline,90,24
E26,L3,baseline,84,24
E27,L3,baseline,78,24
E28,L3,baseline,72,24
E29,L3,baseline,66,24
E30,L3,baseline,60,24
E31,L3,recent,96,24
E32,L3,recent,90,24
E33,L3,recent,84,24
E34,L3,recent,78,24
E35,L3,recent,72,24
E36,L3,recent,66,24
