split,sample_id,unresolved_tickets,days_since_login,usage_minutes_30d,label
train,학습-01,2,3,4200,0
train,학습-02,1,5,3900,0
train,학습-03,2,7,3600,0
train,학습-04,3,9,3400,0
train,학습-05,1,4,3000,0
train,학습-06,2,6,2800,0
train,학습-07,3,8,2500,0
train,학습-08,6,20,3500,1
train,학습-09,7,24,2600,1
train,학습-10,8,28,2200,1
train,학습-11,5,18,3300,1
train,학습-12,6,22,2900,1
test,평가-01,2,6,3700,0
test,평가-02,6,21,4050,1
test,평가-03,7,25,2550,1
test,평가-04,3,9,3200,0
test,평가-05,5,19,3350,1
test,평가-06,2,5,2950,0
candidate,보강-01,5,19,2400,1
candidate,보강-02,3,9,3200,0
candidate,보강-03,4,14,2800,1
candidate,보강-04,1,18,1500,1
candidate,보강-05,5,6,4100,0
candidate,보강-06,6,22,900,1
candidate,보강-07,2,11,2600,0
candidate,보강-08,7,17,2100,1
candidate,보강-09,0,4,4700,0
candidate,보강-10,3,25,1200,1
candidate,보강-11,5,13,3500,1
candidate,보강-12,2,20,3900,0
candidate,보강-13,6,8,1800,1
candidate,보강-14,1,16,2300,0
candidate,보강-15,4,27,700,1
candidate,보강-16,0,2,5100,0
candidate,보강-17,7,24,1600,1
candidate,보강-18,3,6,4300,0
