event_id,segment_order,segment_name,slope
A,1,warmup,0.92
A,2,early_hold,0.31
A,3,mid_hold,0.05
A,4,late_drop,-0.42
A,5,tail_drop,-1.00
B,1,warmup,0.62
B,2,early_hold,0.24
B,3,mid_hold,0.01
B,4,late_drop,-0.22
B,5,tail_drop,-0.74
C,1,warmup,0.18
C,2,early_hold,0.12
C,3,mid_hold,0.04
C,4,late_drop,-0.10
C,5,tail_drop,-0.18
D,1,warmup,1.05
D,2,early_hold,0.82
D,3,mid_hold,0.21
D,4,late_drop,-0.25
D,5,tail_drop,-0.86
E,1,warmup,0.75
E,2,early_hold,0.19
E,3,mid_hold,-0.03
E,4,late_drop,-0.19
E,5,tail_drop,-0.81
F,1,warmup,0.41
F,2,early_hold,0.20
F,3,mid_hold,0.00
F,4,late_drop,-0.20
F,5,tail_drop,-0.41
G,1,warmup,-0.12
G,2,early_hold,0.08
G,3,mid_hold,0.02
G,4,late_drop,-0.31
G,5,tail_drop,-0.55
H,1,warmup,0.88
H,2,early_hold,0.47
H,3,mid_hold,0.26
H,4,late_drop,-0.06
H,5,tail_drop,-0.28
