epoch,train_loss,eval_loss,train_accuracy,eval_accuracy,baseline_accuracy
1,0.589,0.624,1.0,0.857,0.714
2,0.511,0.575,1.0,0.857,0.714
3,0.451,0.538,1.0,0.857,0.714
4,0.402,0.509,1.0,0.857,0.714
5,0.362,0.486,1.0,0.857,0.714
6,0.328,0.468,1.0,0.857,0.714
7,0.3,0.452,1.0,0.857,0.714
8,0.276,0.44,1.0,0.857,0.714
9,0.255,0.429,1.0,0.857,0.714
10,0.237,0.419,1.0,0.857,0.714
11,0.221,0.411,1.0,0.857,0.714
12,0.207,0.404,1.0,0.857,0.714
13,0.156,0.335,1.0,0.857,0.714
14,0.152,0.329,1.0,0.857,0.714
15,0.148,0.323,1.0,0.857,0.714
16,0.144,0.317,1.0,0.857,0.714
17,0.140,0.311,1.0,0.857,0.714
18,0.136,0.305,1.0,0.929,0.714
19,0.132,0.299,1.0,0.929,0.714
20,0.128,0.293,1.0,0.929,0.714
21,0.124,0.287,1.0,0.929,0.714
22,0.120,0.281,1.0,0.929,0.714
23,0.116,0.275,1.0,0.929,0.714
24,0.112,0.269,1.0,0.929,0.714
25,0.108,0.263,1.0,0.929,0.714
26,0.104,0.257,1.0,0.929,0.714
27,0.100,0.251,1.0,0.929,0.714
28,0.096,0.245,1.0,1.0,0.714
29,0.092,0.239,1.0,1.0,0.714
30,0.088,0.233,1.0,1.0,0.714
31,0.084,0.227,1.0,1.0,0.714
32,0.080,0.221,1.0,1.0,0.714
33,0.076,0.215,1.0,1.0,0.714
34,0.072,0.209,1.0,1.0,0.714
35,0.068,0.203,1.0,1.0,0.714
36,0.068,0.197,1.0,1.0,0.714
