line_id,section,text,evidence_signal,score_pressure_hold,score_flow_limit,score_restart_permission
L01,startup,"Confirm the operator has the current startup permit before touching the panel.",4.8,0.2,0.3,1.7
L02,startup,"Open the inlet isolation valve only after the bypass line is confirmed clear.",5.4,0.3,0.6,0.6
L03,startup,"Record the pump tag and local gauge reading in the shift log.",4.2,0.2,0.2,0.5
L04,pressure,"If vessel pressure remains unstable, keep the restart sequence on hold.",3.8,2.5,0.2,2.1
L05,pressure,"After venting, wait three minutes before repeating the pressure check.",3.0,2.8,0.1,0.7
L06,pressure,"A second unstable pressure reading extends the hold by two more minutes.",3.5,2.6,0.1,0.8
L07,pressure,"Do not clear the hold timer while the relief valve is still lifting.",3.2,2.7,0.2,1.4
L08,pressure,"Pressure must stay below the alarm band for one full observation window.",3.7,2.4,0.2,1.2
L09,pressure,"If the pressure trend rises again, restart approval returns to pending.",4.1,2.1,0.2,2.0
L10,pressure,"The pressure hold time is counted from the last unstable reading, not the first alarm.",2.9,3.0,0.1,1.1
L11,pressure,"Manual override does not shorten the pressure stabilization wait.",3.1,2.7,0.1,1.5
L12,pressure,"Supervisor review is required when the pressure hold is extended twice.",3.6,2.3,0.2,1.8
L13,coolant,"Cooling water flow must remain above twelve units before load is raised.",12.0,0.2,2.9,0.5
L14,coolant,"If coolant flow drops below the limit, reduce load and keep the alarm active.",11.6,0.2,2.7,0.8
L15,coolant,"The flow limit is checked at both the inlet meter and the return line meter.",12.4,0.1,2.6,0.5
L16,coolant,"Temporary sensor noise does not change the coolant flow threshold.",12.1,0.1,2.4,0.4
L17,coolant,"When coolant flow is restored, observe two stable readings before continuing.",11.8,0.3,2.5,1.0
L18,coolant,"The standby pump is started only when the main flow stays under the limit.",12.6,0.1,2.8,0.9
L19,coolant,"Do not use temperature improvement alone as proof that coolant flow is sufficient.",11.9,0.4,2.2,0.7
L20,coolant,"Flow alarms are reviewed before the restart checklist is signed.",12.3,0.2,2.1,1.6
L21,temperature,"High temperature alone is treated as an exception note, not a restart approval.",6.4,0.5,0.8,1.5
L22,temperature,"If temperature falls while pressure remains unstable, the pressure hold still applies.",5.6,2.2,0.6,1.7
L23,temperature,"Temperature recovery can support the report but cannot replace the flow check.",6.1,0.4,1.8,0.9
L24,temperature,"A high temperature exception is logged separately from pressure stabilization.",5.8,1.4,0.6,0.8
L25,restart,"Restart can proceed only after pressure, coolant flow, and operator signoff all pass.",7.2,1.3,1.7,3.0
L26,restart,"If any required condition is missing, the restart decision remains blocked.",6.8,1.0,1.2,2.8
L27,restart,"The final restart approval line must cite the pressure hold result.",6.5,2.0,0.7,2.5
L28,restart,"The checklist owner signs approval after confirming the coolant flow entry.",6.9,0.6,2.0,2.4
L29,restart,"A verbal approval is not enough when the restart block is still active.",6.2,0.7,0.6,2.6
L30,restart,"Restart approval is revoked if a later pressure alarm appears.",6.6,2.2,0.3,2.7
L31,logging,"Write the reason for each hold decision in the incident summary.",4.9,1.2,0.3,1.4
L32,logging,"Attach the coolant flow trend snapshot to the end of the shift report.",10.8,0.2,2.0,0.6
L33,logging,"Keep pressure readings and flow readings in separate report fields.",7.0,1.8,1.8,0.5
L34,logging,"The incident summary should not merge unrelated alarms into one cause.",5.2,0.7,0.7,0.9
L35,logging,"A missing pressure timestamp makes the hold-time answer unreliable.",3.4,2.5,0.2,1.2
L36,logging,"A missing flow meter value makes the coolant-limit answer unreliable.",11.2,0.1,2.5,1.0
L37,handover,"The next shift receives open pressure holds before routine tasks.",3.9,2.3,0.2,1.5
L38,handover,"The next shift receives unresolved coolant flow alarms before load changes.",11.7,0.2,2.3,1.2
L39,handover,"The next shift receives restart blocks before planned production notes.",6.4,0.7,0.6,2.3
L40,handover,"Routine cleaning notes stay low priority for all three questions.",4.6,0.1,0.1,0.1
