run_id,prompt_type,card_name,log_source,model_name,temperature,slot_language,line_count,numbered_lines,slot_count,keyword_hits,keyword_total,missing_slots,response_note
R01,simple,billing outage,ollama_generated,llama3.2:latest,0.2,en,2,False,0,3,3,situation;immediate action;remaining risk,"Here is a brief summary of the operations note: /  / Mobile checkout approvals were delayed for 17 minutes, requiring a payment gateway rollback. Incident is not ye"
R02,simple,billing outage,ollama_generated,llama3.2:latest,0.2,en,2,False,0,2,3,situation;immediate action;remaining risk,"Here is a brief summary: /  / Mobile checkout approvals failed due to a payment gateway issue, resulting in a 17-minute outage. Incident not fully resolved until tr"
R03,simple,billing outage,ollama_generated,llama3.2:latest,0.2,en,2,False,0,3,3,situation;immediate action;remaining risk,"Here is a brief summary of the operations note: /  / Mobile checkout approvals were delayed for 17 minutes, resulting in a payment gateway rollback. Incident remain"
R04,simple,billing outage,ollama_generated,llama3.2:latest,0.2,en,2,False,0,2,3,situation;immediate action;remaining risk,"Here is a brief summary of the operations note: /  / Mobile checkout approvals were delayed for 17 minutes, causing issues with the payment gateway. The issue has b"
R05,simple,billing outage,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"The mobile checkout approvals failed due to a technical issue, resulting in a 17-minute outage. The payment gateway was restored, but operations are still waiti"
R06,simple,shipping delay,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"Heavy rain is causing delays in fresh food deliveries, with deliveries being pushed back by 1.5 days. The carrier will reassess the delivery route at 6 PM to ad"
R07,simple,shipping delay,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,Heavy rain has caused a delay in fresh food deliveries by 1.5 days due to re-routing at 6 PM after customer messages were sent.
R08,simple,shipping delay,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,Heavy rain has caused a delay in fresh food deliveries by 1.5 days due to re-routing at 6 PM after customer messages were sent.
R09,simple,shipping delay,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,Heavy rain has caused a delay in fresh food deliveries by 1.5 days due to rechecking of the delivery route at 6 PM.
R10,simple,shipping delay,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"Delivery of fresh food has been delayed due to heavy rain, with an expected delay of 1.5 days. The carrier will reassess the delivery route at 6 PM."
R11,simple,account lock,ollama_generated,llama3.2:latest,0.2,en,1,False,0,3,3,situation;immediate action;remaining risk,"External partners are unable to log in due to a delayed SSO group sync, requiring the help desk to monitor the sync status and have a manual access procedure re"
R12,simple,account lock,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,Delayed SSO group sync causing external partner login issues. Help desk to monitor sync status and prepare manual access procedure.
R13,simple,account lock,ollama_generated,llama3.2:latest,0.2,en,1,False,0,3,3,situation;immediate action;remaining risk,"External partners are unable to log in due to a delayed SSO group sync, requiring the help desk to monitor sync status and have a manual access procedure availa"
R14,simple,account lock,ollama_generated,llama3.2:latest,0.2,en,1,False,0,3,3,situation;immediate action;remaining risk,"SSO group sync is delayed, preventing external partners from logging in. Help desk to monitor sync status and have a manual access procedure ready."
R15,simple,account lock,ollama_generated,llama3.2:latest,0.2,en,1,False,0,3,3,situation;immediate action;remaining risk,"SSO (Single Sign-On) group sync is delayed, preventing external partners from logging in. Help desk to monitor sync status and have a manual access procedure re"
R16,simple,refund backlog,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"There is a backlog of 320 refund review cases due to a recent tax rule update, and support team cannot send final customer replies until finance approves the ex"
R17,simple,refund backlog,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"There is a backlog of 320 refund review cases due to a recent tax rule update, and support cannot send final customer replies until finance approves the excepti"
R18,simple,refund backlog,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"There is a backlog of 320 refund review cases due to a recent tax rule update, and finance approval is required for the exception queue before support can send "
