sample_id,period,second,flow
B1,baseline,0,0.80
B1,baseline,1,0.92
B1,baseline,2,1.02
B1,baseline,3,1.04
B1,baseline,4,1.00
B1,baseline,5,0.96
B2,baseline,0,0.86
B2,baseline,1,0.91
B2,baseline,2,0.98
B2,baseline,3,1.01
B2,baseline,4,0.96
B2,baseline,5,0.90
B3,baseline,0,0.82
B3,baseline,1,0.90
B3,baseline,2,0.97
B3,baseline,3,0.99
B3,baseline,4,0.95
B3,baseline,5,0.91
R1,recent,0,0.70
R1,recent,1,0.84
R1,recent,2,0.96
R1,recent,3,0.94
R1,recent,4,0.92
R1,recent,5,0.60
R2,recent,0,0.88
R2,recent,1,0.91
R2,recent,2,0.94
R2,recent,3,0.93
R2,recent,4,0.92
R2,recent,5,0.84
R3,recent,0,0.75
R3,recent,1,0.92
R3,recent,2,1.08
R3,recent,3,1.10
R3,recent,4,1.08
R3,recent,5,0.68
