case_id,task_type,text_a,text_b,candidate_1,candidate_2,candidate_3,scenario_pattern,reader_hint
C01,classification,Shipping keeps getting delayed,-,-,-,-,direct_label,Check how a direct shipping-delay expression becomes a label output.
C02,classification,I cannot log in and want to reset my password,-,-,-,-,direct_label,Check whether an account access problem is grouped under the account label.
C03,classification,I canceled the payment but the refund has not arrived yet,-,-,-,-,direct_label,Check whether payment cancellation and refund signals are grouped into the same handling flow.
C04,classification,The package has not arrived and I want to check the shipping status,-,-,-,-,direct_label,Check whether package and shipping signals gather under the shipping label.
C05,classification,My account lock is not released and I cannot log in,-,-,-,-,direct_label,Check whether account lock and login failure are part of the account handling flow.
C06,classification,I cannot find the receipt after card payment,-,-,-,-,direct_label,Check whether a post-payment inquiry is captured as a payment label.
C07,classification,I received the product but the box was damaged and I need an exchange,-,-,-,-,boundary_label,Check whether this can be read as a post-shipping handling issue even without the word shipping.
C08,classification,The password change email has not arrived,-,-,-,-,boundary_label,Check whether mixed password and email expressions are still read as an account access issue.
C09,classification,I removed the order but the money has not come back,-,-,-,-,boundary_label,Check whether it is read as a post-cancellation payment-status inquiry even without the word refund.
C10,classification,I changed the shipping address but it was sent to the old address,-,-,-,-,boundary_label,Check whether this is a shipping-flow issue rather than only an address-change issue.
C11,classification,I entered the verification code several times but account verification keeps failing,-,-,-,-,boundary_label,Check whether verification code and account confirmation are grouped under the account label.
C12,classification,I received a cancellation-complete text but the payment record remains,-,-,-,-,boundary_label,Check whether cancellation and payment record are connected as a payment handling flow.
P01,pair_relation,I want to change my password,How do I reset my password?,-,-,-,same_intent,Check whether different expressions share the same account resolution path.
P02,pair_relation,When will the refund arrive?,The weather is nice today,-,-,-,different_intent,Check whether the pair falls to unrelated when there is no shared work signal.
P03,pair_relation,Shipping is getting delayed,The package has not arrived yet,-,-,-,same_intent,Check whether shipping delay is the same handling flow despite different wording.
P04,pair_relation,Login keeps failing,I want to receive the payment receipt again,-,-,-,different_intent,Check whether an account problem and payment request separate.
P05,pair_relation,I am waiting for a refund after canceling the order,I wonder when the money will come back,-,-,-,same_intent,Check whether it is the same post-payment inquiry even without a direct refund word.
P06,pair_relation,I request account unlock,The password reset email has not arrived,-,-,-,near_boundary,Check whether both are account access issues but with different detailed actions.
P07,pair_relation,I entered the wrong shipping address,I want to cancel the order and pay again,-,-,-,near_boundary,Check whether the resolution path is truly the same even with both shipping and payment signals.
P08,pair_relation,I want to find the refund procedure in the FAQ,Where do I apply for a refund?,-,-,-,same_intent,Check whether document-search wording and user-request wording share the same topic.
P09,pair_relation,We need to merge the service maintenance notice,I want to clean up duplicate maintenance guide documents,-,-,-,same_intent,Check whether this is the same group in a document-duplicate detection flow.
P10,pair_relation,The shipping lookup screen does not open,The app login screen keeps freezing,-,-,-,near_boundary,Check whether it may look like an app error but need a different handling label.
P11,pair_relation,Invoice download fails,The verification-code text message does not arrive,-,-,-,different_intent,Check whether a payment document issue and account verification issue separate.
P12,pair_relation,Order synchronization is delayed,The payment went through but the order does not appear,-,-,-,same_intent,Check whether different wording refers to a payment-order connection issue.
R01,ranking,Where should I return equipment before leaving the company?,-,Offboarding equipment return guide,Corporate card reimbursement guide,Resignation checklist and asset recovery procedure,semantic_match,Check whether a candidate with both exact words and procedural meaning rises first.
R02,ranking,I forgot my password,-,Login password reset guide,How to track shipping,Payment receipt download,semantic_match,Check whether the account resolution document comes before other work documents.
R03,ranking,Where do I apply for a refund?,-,Refund request procedure after cancellation,Account unlock method,Shipping address change guide,semantic_match,Check whether the post-payment handling document is selected first.
R04,ranking,The package has not arrived yet,-,Shipping delay check procedure,Password change guide,Corporate card reimbursement rules,semantic_match,Check whether the shipping-delay document is captured as the same work candidate.
R05,ranking,I want to receive the billing record again,-,Payment receipt reissue guide,Offboarding equipment return guide,Service maintenance notice writing guide,semantic_match,Check whether billing and receipt wording connects to a payment document.
R06,ranking,How do I unlock my account?,-,Account unlock procedure,Refund processing schedule guide,Shipping address edit guide,semantic_match,Check whether the account access document is the closest candidate.
R07,ranking,Two service maintenance notices were posted,-,Duplicate notice merge criteria,Password reset guide,Shipping-delay notice template,semantic_match,Check whether the duplicate-document cleanup candidate appears first by work meaning.
R08,ranking,I canceled the order but the payment record remains,-,Payment status check after cancellation,Login error action,Lost package report procedure,boundary_match,Check whether a boundary question involving cancellation and payment status goes to the payment document.
R09,ranking,The shipping lookup button freezes in the app,-,Shipping lookup error check,Account verification code resend,Refund application form,boundary_match,Check whether a shipping lookup document is needed first even if it looks like an app error.
R10,ranking,I cannot cancel the order because I cannot log in,-,Account login recovery procedure,Order cancellation policy guide,Shipping address change method,boundary_match,Check whether the bottleneck is account access even though order cancellation appears on the surface.
R11,ranking,I want to know the asset recovery procedure,-,Equipment return and asset recovery for resignation,Payment limit change guide,Password policy explanation,boundary_match,Check whether the same offboarding document is found even without the words equipment return.
R12,ranking,The order does not appear but I received a payment text,-,Order synchronization and payment confirmation,Shipping delay compensation guide,Account unlock guide,boundary_match,Check whether the payment-order connection issue ranks to the right document.
