event_type,severity
none,0
revisit,1
minor_adjustment,1
inspection,2
review,2
warning,3
failure,4
critical_failure,5
sensor_noise,0
operator_note,1
calibration,1
slow_recovery,2
manual_review,2
threshold_warning,3
pressure_drop,3
flow_drop,3
emergency_stop,5
maintenance_hold,4
quality_hold,3
restart,1
temperature_warning,3
vibration_warning,3
leak_check,2
seal_replace,4
part_replace,4
cleaning,1
sample_repeat,2
late_review,2
auto_retry,1
controller_alarm,3
pump_alarm,3
valve_alarm,3
line_stop,5
scrap,4
rework,3
manual_override,2
