doc_id,title,policy_text,keyword_groups
policy_001,new_employee_leave,신입 직원은 입사 후 1개월이 지나면 월차를 사용할 수 있습니다,입사|휴가
policy_002,summer_vacation_approval,여름휴가는 공지된 기간 안에서 팀 승인 후 사용할 수 있습니다,휴가|승인
policy_003,remaining_leave_lookup,잔여 휴가 일수 조회는 인사 시스템에서 확인합니다,휴가|조회
policy_004,new_benefit_notice,신규 복지 제도는 공지 전까지 인사팀 확인이 필요합니다,복지|승인
policy_005,remote_work_request,재택근무는 팀 일정과 보안 기준을 확인한 뒤 신청할 수 있습니다,재택|승인
policy_006,equipment_request,업무 장비는 부서장 승인 후 자산 관리 시스템에서 신청합니다,장비|승인|조회
policy_007,expense_reimbursement,업무 비용은 영수증을 첨부해 정산 시스템에 등록해야 합니다,비용|정산|조회
policy_008,training_budget,직무 교육비는 사전 승인과 수료 확인 후 정산할 수 있습니다,교육|비용|승인
policy_009,security_incident,보안 사고가 의심되면 즉시 보안팀에 신고하고 관련 기록을 남겨야 합니다,보안|사고|기록
policy_010,personal_data_access,개인정보 접근은 업무 목적과 승인 기록이 있을 때만 허용됩니다,개인정보|승인|보안
policy_011,customer_refund_exception,환불 예외는 고객지원 리더 승인과 근거 기록이 필요합니다,환불|예외|승인|기록
policy_012,system_access_request,시스템 권한 요청은 목적과 기간을 남기고 관리자 승인을 받아야 합니다,권한|승인|기록
