event_id,window,progress_bin,flow
A,baseline,early,0.7
A,baseline,early,0.9
A,baseline,mid,2.0
A,baseline,mid,2.1
A,baseline,late,1.7
A,baseline,late,1.8
B,baseline,early,0.8
B,baseline,early,0.8
B,baseline,mid,2.1
B,baseline,mid,2.2
B,baseline,late,1.6
B,baseline,late,1.7
C,baseline,early,0.75
C,baseline,early,0.85
C,baseline,mid,2.0
C,baseline,mid,2.0
C,baseline,late,1.8
C,baseline,late,1.9
D,recent,early,0.9
D,recent,early,1.0
D,recent,mid,2.4
D,recent,mid,2.5
D,recent,late,1.8
D,recent,late,1.9
E,recent,early,1.0
E,recent,early,1.1
E,recent,mid,2.6
E,recent,mid,2.7
E,recent,late,1.9
E,recent,late,2.0
F,recent,early,0.95
F,recent,early,1.05
F,recent,mid,2.5
F,recent,mid,2.6
F,recent,late,1.7
F,recent,late,1.8
