run_id,task_name,path_type,log_source,model_name,temperature,final_answer,evidence_mentioned,calculation_correct,policy_current,rule_warning,minority_answer,path_summary
C001,mixed_refund_label,cot,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not possible due to shipment start status check failure
C002,mixed_refund_label,cot,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund cannot be promised before shipment has started.
C003,mixed_refund_label,cot,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Shipment start status not checked before promising refund date.
C004,mixed_refund_label,cot,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not possible since shipment has already left.
C005,mixed_refund_label,cot,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not promised due to shipment-start status check failure
C006,mixed_refund_label,self_consistency,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Shipment-start status not met before promising refund date
C007,mixed_refund_label,self_consistency,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not promised due to shipment-start status not checked
C008,mixed_refund_label,self_consistency,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not possible due to shipment start status not being checked.
C009,mixed_refund_label,self_consistency,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refund not possible due to shipment-start status
C010,mixed_refund_label,self_consistency,ollama_generated,llama3.2:latest,0.7,error,True,True,True,True,False,Refused refund due to shipment-start status not met.
C011,discount_total,cot,ollama_generated,llama3.2:latest,0.7,apply_discount,False,False,True,True,False,Pre-tax item total exceeds $200 threshold
C012,discount_total,cot,ollama_generated,llama3.2:latest,0.7,apply_discount,True,True,True,True,False,Total is at least $200 after tax ($12*18=216) since pre-tax total is above threshold of $200.
C013,discount_total,cot,ollama_generated,llama3.2:latest,0.7,apply_discount,False,False,True,True,False,Pre-tax item total exceeds $200 threshold.
C014,discount_total,cot,ollama_generated,llama3.2:latest,0.7,apply_discount,False,False,True,True,False,"Pre-tax item total exceeds $200, meeting discount criteria"
C015,discount_total,cot,ollama_generated,llama3.2:latest,0.7,apply_discount,False,True,True,True,False,Total pre-tax item value exceeds $200 threshold.
