request_id,user_request_en,model_request_en,function_name,title,date,time,timezone,attendees,base_currency,quote_currency,amount,file_path,change_summary,recipient,subject,body,approval_required
F01,Create a design review meeting tomorrow at 3 PM in Seoul time.,Create a design review meeting tomorrow at 3 PM in Seoul time.,create_calendar_event,Design review,tomorrow,15:00,Asia/Seoul,design@example.com,,,,,,,,,false
F02,Schedule a team meeting tomorrow afternoon in Seoul time.,Schedule a team meeting tomorrow afternoon in Seoul time.,create_calendar_event,Team meeting,tomorrow,,Asia/Seoul,team@example.com,,,,,,,,,false
F03,Schedule a hiring interview next Monday at 10 AM.,Schedule a hiring interview next Monday at 10 AM.,create_calendar_event,Hiring interview,next_monday,10:00,,hr@example.com,,,,,,,,,false
F04,Create a product demo event on Friday at 2 PM and invite Minsu.,Create a product demo event on Friday at 2 PM and invite Minsu.,create_calendar_event,Product demo,friday,14:00,Asia/Seoul,minsu@example.com,,,,,,,,,false
F05,Create an event tomorrow at 4 PM and leave the title and attendees for later.,Create an event tomorrow at 4 PM and leave the title and attendees for later.,create_calendar_event,,tomorrow,16:00,Asia/Seoul,,,,,,,,,,false
F06,Create an onboarding meeting next Tuesday at 9 AM in Seoul time.,Create an onboarding meeting next Tuesday at 9 AM in Seoul time.,create_calendar_event,Onboarding meeting,next_tuesday,09:00,Asia/Seoul,newhire@example.com,,,,,,,,,false
F07,Convert 300 USD to KRW using today's rate.,Convert 300 USD to KRW using today's rate.,lookup_exchange_rate,,,,,,USD,KRW,300,,,,,,false
F08,Look up today's JPY exchange rate.,Look up today's JPY exchange rate.,lookup_exchange_rate,,,,,,JPY,,1,,,,,,false
F09,Convert 120 EUR to KRW.,Convert 120 EUR to KRW.,lookup_exchange_rate,,,,,,EUR,KRW,120,,,,,,false
F10,Use today's exchange rate and tell me the KRW amount.,Use today's exchange rate and tell me the KRW amount.,lookup_exchange_rate,,,,,,USD,KRW,,,,,,,false
F11,Look up the USD/KRW rate and include the as-of time.,Look up the USD/KRW rate and include the as-of time.,lookup_exchange_rate,,,,,,USD,KRW,1,,,,,,false
F12,Convert 50 GBP to KRW today.,Convert 50 GBP to KRW today.,lookup_exchange_rate,,,,,,GBP,KRW,50,,,,,,false
F13,Update the README install command to use uv.,Update the README install command to use uv.,apply_file_patch,,,,,,,,,README.md,Change the install command to use uv,,,,false
F14,Expand the example explanation in chapter 13 section 02.,Expand the example explanation in chapter 13 section 02.,apply_file_patch,,,,,,,,,docs/parts/part-06/chapter-13/section-02.md,Expand the example explanation,,,,false
F15,Fix the file. Find the location yourself.,Fix the file. Find the location yourself.,apply_file_patch,,,,,,,,,,Unclear edit location,,,,false
F16,Add chromadb to requirements.,Add chromadb to requirements.,apply_file_patch,,,,,,,,,requirements.txt,Add chromadb dependency,,,,false
F17,Fix typos in this section.,Fix typos in this section.,apply_file_patch,,,,,,,,,docs/parts/part-06/chapter-13/section-02.md,,,,,false
F18,Clean up the Part 6 navigation in the deployment config.,Clean up the Part 6 navigation in the deployment config.,apply_file_patch,,,,,,,,,mkdocs.yml,Clean up Part 6 nav,,,,false
F19,Send Minsu a meeting notes draft.,Send Minsu a meeting notes draft.,send_email_draft,,,,,,,,,,,minsu@example.com,Meeting notes draft,Here is today's meeting notes draft,true
F20,Draft an email to the team about tomorrow's schedule change.,Draft an email to the team about tomorrow's schedule change.,send_email_draft,,,,,,,,,,,team@example.com,Tomorrow schedule change,Tomorrow's schedule has changed,false
F21,Send this to the customer.,Send this to the customer.,send_email_draft,,,,,,,,,,,,Customer notice,,true
F22,Send an incident notice to support.,Send an incident notice to support.,send_email_draft,,,,,,,,,,,support@example.com,Incident notice,,true
F23,Send the PR description to the reviewer.,Send the PR description to the reviewer.,send_email_draft,,,,,,,,,,,reviewer@example.com,PR description,Sharing the change summary,false
F24,Send the price list to the external partner.,Send the price list to the external partner.,send_email_draft,,,,,,,,,,,partner@example.com,Price list,Please review the attached price list,true
