case_id,tool,permission,scope,approved,result_status,focus
연습-01,메트릭 조회,읽기,관측 대시보드,예,완료,자동 실행이 가능한 조회 단계
연습-02,배포 이력 조회,읽기,배포 기록,예,완료,원인 후보를 좁히는 조회 단계
연습-03,롤백 실행,변경,결제 서비스 프로덕션,아니오,보류,승인 없이는 멈춰야 하는 변경 단계
연습-04,상태 보고 작성,쓰기,장애 기록 문서,예,완료,변경 전에도 남길 수 있는 기록 단계
연습-05,캐시 삭제 실행,변경,결제 서비스 프로덕션,아니오,보류,자동 복구처럼 보이지만 승인 정책이 필요한 단계
연습-06,임시 우회 설정 반영,변경,공개 결제 API 설정,아니오,보류,영향 범위가 넓어 더 보수적으로 다뤄야 하는 단계
연습-07,메트릭 재확인,쓰기,운영 노트,아니오,보류,기록 보강
연습-08,최근 설정 비교,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-09,고객 영향 범위 계산,삭제,고객 데이터,아니오,보류,민감 범위
연습-10,대응 초안 작성,읽기,관측 대시보드,예,완료,자동 조회
연습-11,승인 요청,쓰기,운영 노트,아니오,보류,기록 보강
연습-12,변경 실행 대기,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-13,후속 검증,삭제,고객 데이터,아니오,보류,민감 범위
연습-14,로그 조회,읽기,관측 대시보드,예,완료,자동 조회
연습-15,메트릭 재확인,쓰기,운영 노트,예,완료,기록 보강
연습-16,최근 설정 비교,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-17,고객 영향 범위 계산,삭제,고객 데이터,아니오,보류,민감 범위
연습-18,대응 초안 작성,읽기,관측 대시보드,예,완료,자동 조회
연습-19,승인 요청,쓰기,운영 노트,아니오,보류,기록 보강
연습-20,변경 실행 대기,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-21,후속 검증,삭제,고객 데이터,아니오,보류,민감 범위
연습-22,로그 조회,읽기,관측 대시보드,예,완료,자동 조회
연습-23,메트릭 재확인,쓰기,운영 노트,아니오,보류,기록 보강
연습-24,최근 설정 비교,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-25,고객 영향 범위 계산,삭제,고객 데이터,아니오,보류,민감 범위
연습-26,대응 초안 작성,읽기,관측 대시보드,예,완료,자동 조회
연습-27,승인 요청,쓰기,운영 노트,예,완료,기록 보강
연습-28,변경 실행 대기,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-29,후속 검증,삭제,고객 데이터,아니오,보류,민감 범위
연습-30,로그 조회,읽기,관측 대시보드,예,완료,자동 조회
연습-31,메트릭 재확인,쓰기,운영 노트,아니오,보류,기록 보강
연습-32,최근 설정 비교,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
연습-33,고객 영향 범위 계산,삭제,고객 데이터,아니오,보류,민감 범위
연습-34,대응 초안 작성,읽기,관측 대시보드,예,완료,자동 조회
연습-35,승인 요청,쓰기,운영 노트,아니오,보류,기록 보강
연습-36,변경 실행 대기,변경,결제 서비스 프로덕션,아니오,보류,프로덕션 변경
