split,sample_id,text,label
train,학습-01,환불 요청 카드 취소,0
train,학습-02,주문 취소 환불 문의,0
train,학습-03,결제 오류 환불 부탁,0
train,학습-04,불량 제품 환불 원함,0
train,학습-05,반품 접수 환불 일정,0
train,학습-06,환불 금액 아직 미입금,0
train,학습-07,취소 처리 상태 문의,0
train,학습-08,배송 조회 번호 확인,1
train,학습-09,출고 일정 배송 문의,1
train,학습-10,택배 도착 예정 확인,1
train,학습-11,배송 지연 언제 오나요,1
train,학습-12,송장 번호 재발급 요청,1
test,평가-01,환불 진행 상태 확인,0
test,평가-02,배송 조회 언제 가능,1
test,평가-03,불량 반품 후 환불 일정,0
test,평가-04,출고 지연 도착 예정 문의,1
test,평가-05,캔슬 후 송장 번호 남아 있어요,0
test,평가-06,카드 승인 취소 금액 언제 돌아오나요,0
test,평가-07,하자 제품 환불 스케줄 알고 싶어요,0
