split,sample_id,text,label
train,학습-01,환불 요청 카드 취소,0
train,학습-02,주문 취소 환불 문의,0
train,학습-03,결제 오류 환불 부탁,0
train,학습-04,불량 제품 환불 원함,0
train,학습-05,반품 접수 환불 일정,0
train,학습-06,환불 금액 아직 미입금,0
train,학습-07,취소 처리 상태 문의,0
train,학습-08,배송 조회 번호 확인,1
train,학습-09,출고 일정 배송 문의,1
train,학습-10,택배 도착 예정 확인,1
train,학습-11,배송 지연 언제 오나요,1
train,학습-12,송장 번호 재발급 요청,1
test,평가-01,환불 진행 상태 확인,0
test,평가-02,배송 조회 언제 가능,1
test,평가-03,불량 반품 후 환불 일정,0
test,평가-04,출고 지연 도착 예정 문의,1
test,평가-05,캔슬 후 송장 남아 있어요,0
test,평가-06,카드 승인 취소 금액 언제 돌아오나요,0
test,평가-07,하자 제품 환불 스케줄 알고 싶어요,0
candidate,보강-01,배송 주소 변경 요청,1
candidate,보강-02,환불 계좌 재확인 문의,0
candidate,보강-03,택배 분실 보상 문의,1
candidate,보강-04,결제 취소 영수증 요청,0
candidate,보강-05,교환 배송 일정 변경,1
candidate,보강-06,카드 승인 취소 지연,0
candidate,보강-07,배송 완료인데 물건 없음,1
candidate,보강-08,환불 처리 상태 확인,0
candidate,보강-09,반품 회수 기사 일정,1
candidate,보강-10,쿠폰 결제 취소 가능 여부,0
candidate,보강-11,상품 파손 배송 사진 제출,1
candidate,보강-12,이중 결제 환불 요청,0
candidate,보강-13,배송지 오입력 수정,1
candidate,보강-14,부분 환불 금액 확인,0
candidate,보강-15,출고 후 주소 변경 가능 문의,1
candidate,보강-16,결제 실패 후 재주문 환불,0
candidate,보강-17,지연 배송 보상 기준,1
