report_id,scenario,token,relation_role,decision_axis,evidence_axis,condition_axis,single_weight,head1_weight,head2_weight
ops_pressure_return,balanced_heads,정지결정,decision,1.0,0.0,0.0,0.4,0.45,0.30
ops_pressure_return,balanced_heads,압력이상,evidence,0.0,2.0,0.0,0.3,0.30,0.30
ops_pressure_return,balanced_heads,복귀조건,condition,3.0,0.0,1.0,0.3,0.25,0.40
ops_pressure_return,decision_vs_condition_split,정지결정,decision,1.0,0.0,0.0,0.4,0.70,0.10
ops_pressure_return,decision_vs_condition_split,압력이상,evidence,0.0,2.0,0.0,0.3,0.20,0.30
ops_pressure_return,decision_vs_condition_split,복귀조건,condition,3.0,0.0,1.0,0.3,0.10,0.60
ops_pressure_return,condition_heavy_both_heads,정지결정,decision,1.0,0.0,0.0,0.4,0.20,0.15
ops_pressure_return,condition_heavy_both_heads,압력이상,evidence,0.0,2.0,0.0,0.3,0.25,0.20
ops_pressure_return,condition_heavy_both_heads,복귀조건,condition,3.0,0.0,1.0,0.3,0.55,0.65
shift_alarm_hold,balanced_heads,보류결정,decision,1.1,0.1,0.0,0.4,0.42,0.32
shift_alarm_hold,balanced_heads,경보근거,evidence,0.1,1.8,0.2,0.3,0.33,0.30
shift_alarm_hold,balanced_heads,재확인조건,condition,2.6,0.2,1.1,0.3,0.25,0.38
shift_alarm_hold,decision_vs_condition_split,보류결정,decision,1.1,0.1,0.0,0.4,0.68,0.12
shift_alarm_hold,decision_vs_condition_split,경보근거,evidence,0.1,1.8,0.2,0.3,0.22,0.28
shift_alarm_hold,decision_vs_condition_split,재확인조건,condition,2.6,0.2,1.1,0.3,0.10,0.60
shift_alarm_hold,condition_heavy_both_heads,보류결정,decision,1.1,0.1,0.0,0.4,0.18,0.14
shift_alarm_hold,condition_heavy_both_heads,경보근거,evidence,0.1,1.8,0.2,0.3,0.27,0.22
shift_alarm_hold,condition_heavy_both_heads,재확인조건,condition,2.6,0.2,1.1,0.3,0.55,0.64
manual_exception_range,balanced_heads,작업승인,decision,1.2,0.0,0.1,0.4,0.44,0.31
manual_exception_range,balanced_heads,예외근거,evidence,0.0,1.7,0.4,0.3,0.31,0.29
manual_exception_range,balanced_heads,적용조건,condition,2.8,0.1,1.2,0.3,0.25,0.40
manual_exception_range,decision_vs_condition_split,작업승인,decision,1.2,0.0,0.1,0.4,0.72,0.10
manual_exception_range,decision_vs_condition_split,예외근거,evidence,0.0,1.7,0.4,0.3,0.18,0.32
manual_exception_range,decision_vs_condition_split,적용조건,condition,2.8,0.1,1.2,0.3,0.10,0.58
manual_exception_range,condition_heavy_both_heads,작업승인,decision,1.2,0.0,0.1,0.4,0.21,0.16
manual_exception_range,condition_heavy_both_heads,예외근거,evidence,0.0,1.7,0.4,0.3,0.24,0.19
manual_exception_range,condition_heavy_both_heads,적용조건,condition,2.8,0.1,1.2,0.3,0.55,0.65
code_guard_flow,balanced_heads,반환결정,decision,1.0,0.2,0.0,0.4,0.43,0.31
code_guard_flow,balanced_heads,검사근거,evidence,0.0,1.9,0.3,0.3,0.32,0.31
code_guard_flow,balanced_heads,실행조건,condition,2.9,0.1,1.0,0.3,0.25,0.38
code_guard_flow,decision_vs_condition_split,반환결정,decision,1.0,0.2,0.0,0.4,0.69,0.11
code_guard_flow,decision_vs_condition_split,검사근거,evidence,0.0,1.9,0.3,0.3,0.20,0.30
code_guard_flow,decision_vs_condition_split,실행조건,condition,2.9,0.1,1.0,0.3,0.11,0.59
code_guard_flow,condition_heavy_both_heads,반환결정,decision,1.0,0.2,0.0,0.4,0.20,0.15
code_guard_flow,condition_heavy_both_heads,검사근거,evidence,0.0,1.9,0.3,0.3,0.25,0.21
code_guard_flow,condition_heavy_both_heads,실행조건,condition,2.9,0.1,1.0,0.3,0.55,0.64
