case_id,task_type,text_a,text_b,candidate_1,candidate_2,candidate_3,scenario_pattern,reader_hint
C01,classification,배송이 계속 지연되고 있습니다,-,-,-,-,direct_label,배송 지연 표현이 직접 들어가 라벨 출력이 어떻게 만들어지는지 본다.
C02,classification,로그인이 되지 않아 비밀번호를 다시 바꾸고 싶습니다,-,-,-,-,direct_label,계정 접근 문제를 계정 라벨로 묶는지 본다.
C03,classification,결제는 취소했는데 환불이 아직 안 됐습니다,-,-,-,-,direct_label,결제와 취소와 환불 신호가 같은 처리 흐름으로 묶이는지 본다.
C04,classification,택배가 도착하지 않아 배송 상태를 확인하고 싶습니다,-,-,-,-,direct_label,택배와 배송 신호가 함께 있을 때 배송 라벨로 모이는지 본다.
C05,classification,계정 잠금이 풀리지 않아 로그인할 수 없습니다,-,-,-,-,direct_label,계정 잠금과 로그인 실패가 계정 처리 흐름인지 본다.
C06,classification,카드 결제 이후 영수증을 찾을 수 없습니다,-,-,-,-,direct_label,결제 관련 사후 문의가 결제 라벨로 잡히는지 본다.
C07,classification,상품은 받았지만 박스가 파손되어 교환이 필요합니다,-,-,-,-,boundary_label,배송 단어가 없어도 배송 이후 처리 문제로 볼 수 있는지 본다.
C08,classification,비밀번호 변경 메일이 오지 않습니다,-,-,-,-,boundary_label,비밀번호와 메일 표현이 섞여도 계정 접근 문제로 읽는지 본다.
C09,classification,주문을 없앴는데 돈이 다시 들어오지 않았습니다,-,-,-,-,boundary_label,환불 단어가 없어도 결제 취소 뒤 상태 문의로 읽는지 본다.
C10,classification,배송지를 바꿨는데 이전 주소로 출고됐습니다,-,-,-,-,boundary_label,주소 변경보다 배송 흐름의 문제인지 본다.
C11,classification,인증번호를 여러 번 입력했는데 계정 확인이 실패합니다,-,-,-,-,boundary_label,인증번호와 계정 확인을 계정 라벨로 묶는지 본다.
C12,classification,취소 처리 완료 문자를 받았지만 결제 내역이 그대로입니다,-,-,-,-,boundary_label,취소와 결제 내역을 결제 처리 흐름으로 연결하는지 본다.
