doc_id,text
문서-1,RAG는 외부 문서를 검색해 모델 입력에 넣고 그 근거 위에서 답변을 구성하는 구조다.
문서-2,프롬프트만으로는 최신 문서 근거를 보장할 수 없으므로 최신 규칙이 필요한 서비스에서는 검색 단계가 먼저 필요하다.
문서-3,검색 후보 점수가 높아도 질문에 직접 답하지 않는 문장이 섞일 수 있으므로 선택 근거를 따로 남겨야 한다.
문서-4,RAG 프로젝트 기록에는 질문 검색 후보 선택 근거 최종 답변을 분리해 남겨야 검색 실패와 답변 실패를 나중에 구분할 수 있다.
문서-5,문서 분할 chunking 은 검색 범위를 세밀하게 만들지만 너무 잘게 나누면 문맥이 끊길 수 있다.
문서-6,재정렬 reranking 은 상위 후보의 순서를 다시 바꾸어 질문에 더 직접 답하는 근거를 앞으로 당기는 단계다.
문서-7,상위 검색 후보 비교표에는 선택된 문서뿐 아니라 탈락한 후보와 탈락 이유도 남겨야 다음 검색 실험에서 무엇이 달라졌는지 설명할 수 있다.
문서-8,최종 답변만 저장하면 검색이 실패했는지 답변이 근거를 벗어났는지 나중에 구분하기 어렵다.
문서-9,운영 티켓 기록은 실행 순서와 승인 상태를 남기지만 그것만으로는 RAG 답변의 근거 품질을 설명할 수 없다.
문서-10,출처 표시는 문서 식별자만 붙이는 것으로 끝나지 않고 어떤 선택 근거 문장을 실제로 채택했는지도 함께 남겨야 한다.
문서-11,검색 후보에는 직접 답 근거와 배경 설명이 섞이므로 채택 문장과 탈락 이유를 따로 기록한다.
문서-12,근거가 없는 질문은 답변을 멈추고 문서 범위 밖이라고 표시해야 한다.
문서-13,재정렬은 상위 후보 순서를 조정하지만 문서에 없는 사실을 만들어 주지는 않는다.
문서-14,최종 답변만 저장하면 검색 실패인지 선택 실패인지 답변 과장인지 나중에 구분하기 어렵다.
문서-15,출처 표시는 문서 ID뿐 아니라 어떤 문장이 답변을 지지했는지까지 남길 때 검토 가능성이 높다.
문서-16,문서 분할 크기가 너무 작으면 맥락이 끊기고 너무 크면 무관 문장이 함께 검색될 수 있다.
문서-17,RAG 평가에서는 정답 문장 검색 여부와 근거 밖 단정 여부를 별도 항목으로 본다.
문서-18,운영 환경에서는 최신 정책 문서와 오래된 요약 문서가 동시에 검색될 수 있어 날짜 확인이 필요하다.
문서-19,검색 점수가 낮아도 질문 표현만 다른 직접 근거가 있을 수 있으므로 후보 다양성을 함께 본다.
문서-20,문서 범위 밖 질문에 그럴듯한 답을 쓰는 것은 검색 시스템의 통과가 아니라 실패 신호다.
문서-21,같은 근거를 반복 검색하는 경우에는 중복 제거 후 서로 다른 관점의 후보를 비교한다.
문서-22,답변 초안은 선택 근거 안에서만 작성하고 불확실한 부분은 확인 필요로 남긴다.
문서-23,"RAG 로그에는 질문, 검색어, 후보 문서, 채택 근거, 탈락 이유, 답변 상태가 함께 있어야 한다."
문서-24,사용자 질문이 여러 주제를 섞으면 먼저 하위 질문으로 나누고 각 질문의 근거를 따로 찾는다.
문서-25,근거 문서가 최신인지 확인하지 않으면 오래된 규칙을 맞는 답처럼 제시할 수 있다.
문서-26,근거가 충분해도 답변 문장이 근거보다 더 넓은 결론을 내리면 답변 단계 실패로 기록한다.
문서-27,문서 품질이 낮으면 검색 모델을 바꿔도 답변 품질이 크게 좋아지지 않을 수 있다.
문서-28,near miss 후보는 탈락시키되 다음 문서 보강이나 검색어 개선의 단서로 남긴다.
문서-29,RAG 시스템의 성공 여부는 답변의 자연스러움보다 근거 추적 가능성으로 먼저 판단한다.
문서-30,"검색 실패를 줄이려면 동의어, 약어, 날짜 표현처럼 질문 표현의 변형을 테스트한다."
문서-31,민감한 정책 답변은 검색 근거가 있어도 사람 검토 단계로 넘기는 기준을 따로 둔다.
문서-32,답변 거절도 올바른 결과일 수 있으므로 근거 부족 상태를 실패와 구분해 기록한다.
문서-33,검색 후보가 너무 많으면 검토 비용이 커지므로 상위 후보 수와 채택 근거 수를 별도로 제한한다.
문서-34,문서별 권한 범위가 다르면 검색 가능 문서와 답변 가능 문서를 따로 필터링해야 한다.
문서-35,사용자에게 보이는 출처와 내부 검토 로그의 상세도는 목적이 다르므로 구분한다.
문서-36,정책 변경 직후에는 캐시된 문서와 원본 문서의 버전을 함께 확인해야 한다.
