step,parameter_name,signal_group,gradient
1,risk_weight,large_steady,-7.0
2,risk_weight,large_steady,-6.5
3,risk_weight,large_steady,-5.2
4,risk_weight,large_steady,-4.5
5,risk_weight,large_steady,-3.8
6,risk_weight,large_steady,-3.0
7,risk_weight,large_steady,-2.4
8,risk_weight,large_steady,-1.8
9,risk_weight,large_steady,-1.3
10,risk_weight,large_steady,-0.9
11,risk_weight,large_steady,-0.6
12,risk_weight,large_steady,-0.4
1,recovery_weight,small_steady,-0.6
2,recovery_weight,small_steady,-0.52
3,recovery_weight,small_steady,-0.47
4,recovery_weight,small_steady,-0.41
5,recovery_weight,small_steady,-0.34
6,recovery_weight,small_steady,-0.29
7,recovery_weight,small_steady,-0.23
8,recovery_weight,small_steady,-0.18
9,recovery_weight,small_steady,-0.15
10,recovery_weight,small_steady,-0.11
11,recovery_weight,small_steady,-0.08
12,recovery_weight,small_steady,-0.05
1,noise_weight,oscillating,-3.0
2,noise_weight,oscillating,2.5
3,noise_weight,oscillating,-2.0
4,noise_weight,oscillating,1.8
5,noise_weight,oscillating,-1.5
6,noise_weight,oscillating,1.2
7,noise_weight,oscillating,-1.0
8,noise_weight,oscillating,0.8
9,noise_weight,oscillating,-0.6
10,noise_weight,oscillating,0.5
11,noise_weight,oscillating,-0.4
12,noise_weight,oscillating,0.3
