step,tool,permission,scope,reason,approved,result_status,observation,next_action
1,메트릭 조회,읽기,관측 대시보드,현재 장애 강도 확인,예,완료,"오류율 12.8%, p95 지연 2.4초",배포 이력 조회
2,배포 이력 조회,읽기,배포 기록,최근 변경 여부 확인,예,완료,18분 전 결제 서비스 v2.3.1 배포 확인,롤백 실행 검토
3,롤백 실행,변경,결제 서비스 프로덕션,사람 승인 후 이전 안정 버전으로 복구,아니오,보류,프로덕션 변경은 온콜 리드 승인 전까지 자동 실행 금지,온콜 리드 승인 요청
4,감사 로그 첨부 업로드,쓰기,장애 감사 저장소,보류 사유와 근거 로그를 보존해야 한다,예,실패,감사 저장소 업로드가 timeout 으로 실패해 자동 보존이 끝나지 않았다,실패 로그를 보고에 첨부하고 수동 등록 요청
5,상태 보고 작성,쓰기,장애 기록 문서,현재 상태와 다음 행동 공유,예,완료,현재는 롤백 실행 전이며 승인 대기 상태이고 감사 로그 업로드는 실패했다고 보고,사람 검토 대기
6,메트릭 재확인,읽기,배포 기록,대응 단계 01의 권한 범위 확인,예,완료,권한 검토 결과 01,다음 점검
7,최근 설정 비교,변경,프로덕션 서비스,대응 단계 02의 권한 범위 확인,아니오,보류,권한 검토 결과 02,사람 승인 요청
8,고객 영향 범위 계산,쓰기,운영 문서,대응 단계 03의 권한 범위 확인,아니오,실패,권한 검토 결과 03,사람 승인 요청
9,대응 초안 작성,삭제,고객 영향 리포트,대응 단계 04의 권한 범위 확인,아니오,보류,권한 검토 결과 04,사람 승인 요청
10,승인 요청,읽기,관측 대시보드,대응 단계 05의 권한 범위 확인,예,완료,권한 검토 결과 05,다음 점검
11,변경 실행 대기,읽기,배포 기록,대응 단계 06의 권한 범위 확인,예,완료,권한 검토 결과 06,다음 점검
12,후속 검증,변경,프로덕션 서비스,대응 단계 07의 권한 범위 확인,예,완료,권한 검토 결과 07,다음 점검
13,로그 조회,쓰기,운영 문서,대응 단계 08의 권한 범위 확인,아니오,실패,권한 검토 결과 08,사람 승인 요청
14,메트릭 재확인,삭제,고객 영향 리포트,대응 단계 09의 권한 범위 확인,아니오,보류,권한 검토 결과 09,사람 승인 요청
15,최근 설정 비교,읽기,관측 대시보드,대응 단계 10의 권한 범위 확인,예,완료,권한 검토 결과 10,다음 점검
16,고객 영향 범위 계산,읽기,배포 기록,대응 단계 11의 권한 범위 확인,예,완료,권한 검토 결과 11,다음 점검
17,대응 초안 작성,변경,프로덕션 서비스,대응 단계 12의 권한 범위 확인,아니오,보류,권한 검토 결과 12,사람 승인 요청
18,승인 요청,쓰기,운영 문서,대응 단계 13의 권한 범위 확인,아니오,실패,권한 검토 결과 13,사람 승인 요청
19,변경 실행 대기,삭제,고객 영향 리포트,대응 단계 14의 권한 범위 확인,예,완료,권한 검토 결과 14,다음 점검
20,후속 검증,읽기,관측 대시보드,대응 단계 15의 권한 범위 확인,예,완료,권한 검토 결과 15,다음 점검
21,로그 조회,읽기,배포 기록,대응 단계 16의 권한 범위 확인,예,완료,권한 검토 결과 16,다음 점검
22,메트릭 재확인,변경,프로덕션 서비스,대응 단계 17의 권한 범위 확인,아니오,보류,권한 검토 결과 17,사람 승인 요청
23,최근 설정 비교,쓰기,운영 문서,대응 단계 18의 권한 범위 확인,아니오,실패,권한 검토 결과 18,사람 승인 요청
24,고객 영향 범위 계산,삭제,고객 영향 리포트,대응 단계 19의 권한 범위 확인,아니오,보류,권한 검토 결과 19,사람 승인 요청
25,대응 초안 작성,읽기,관측 대시보드,대응 단계 20의 권한 범위 확인,예,완료,권한 검토 결과 20,다음 점검
26,승인 요청,읽기,배포 기록,대응 단계 21의 권한 범위 확인,예,완료,권한 검토 결과 21,다음 점검
27,변경 실행 대기,변경,프로덕션 서비스,대응 단계 22의 권한 범위 확인,아니오,보류,권한 검토 결과 22,사람 승인 요청
28,후속 검증,쓰기,운영 문서,대응 단계 23의 권한 범위 확인,아니오,실패,권한 검토 결과 23,사람 승인 요청
29,로그 조회,삭제,고객 영향 리포트,대응 단계 24의 권한 범위 확인,아니오,보류,권한 검토 결과 24,사람 승인 요청
30,메트릭 재확인,읽기,관측 대시보드,대응 단계 25의 권한 범위 확인,예,완료,권한 검토 결과 25,다음 점검
31,최근 설정 비교,읽기,배포 기록,대응 단계 26의 권한 범위 확인,예,완료,권한 검토 결과 26,다음 점검
32,고객 영향 범위 계산,변경,프로덕션 서비스,대응 단계 27의 권한 범위 확인,아니오,보류,권한 검토 결과 27,사람 승인 요청
33,대응 초안 작성,쓰기,운영 문서,대응 단계 28의 권한 범위 확인,예,완료,권한 검토 결과 28,다음 점검
34,승인 요청,삭제,고객 영향 리포트,대응 단계 29의 권한 범위 확인,아니오,보류,권한 검토 결과 29,사람 승인 요청
35,변경 실행 대기,읽기,관측 대시보드,대응 단계 30의 권한 범위 확인,예,완료,권한 검토 결과 30,다음 점검
36,후속 검증,읽기,배포 기록,대응 단계 31의 권한 범위 확인,예,완료,권한 검토 결과 31,다음 점검
