step,node,activation,train_mask,train_value,eval_value,path_role
1,node_1,0.9,1,0.9,0.9,shipping_shortcut
1,node_2,1.3,1,1.3,1.3,rating_signal
1,node_3,0.4,1,0.4,0.4,brand_signal
1,node_4,1.1,0,0.0,1.1,sentence_context
1,node_5,0.7,1,0.7,0.7,contrast_context
2,node_1,0.9,1,0.9,0.9,shipping_shortcut
2,node_2,1.3,0,0.0,1.3,rating_signal
2,node_3,0.4,1,0.4,0.4,brand_signal
2,node_4,1.1,1,1.1,1.1,sentence_context
2,node_5,0.7,1,0.7,0.7,contrast_context
3,node_1,0.9,0,0.0,0.9,shipping_shortcut
3,node_2,1.3,1,1.3,1.3,rating_signal
3,node_3,0.4,1,0.4,0.4,brand_signal
3,node_4,1.1,1,1.1,1.1,sentence_context
3,node_5,0.7,0,0.0,0.7,contrast_context
4,node_1,0.9,1,0.9,0.9,shipping_shortcut
4,node_2,1.3,1,1.3,1.3,rating_signal
4,node_3,0.4,0,0.0,0.4,brand_signal
4,node_4,1.1,1,1.1,1.1,sentence_context
4,node_5,0.7,1,0.7,0.7,contrast_context
5,node_1,0.9,1,0.9,0.9,shipping_shortcut
5,node_2,1.3,0,0.0,1.3,rating_signal
5,node_3,0.4,1,0.4,0.4,brand_signal
5,node_4,1.1,0,0.0,1.1,sentence_context
5,node_5,0.7,1,0.7,0.7,contrast_context
6,node_1,0.9,0,0.0,0.9,shipping_shortcut
6,node_2,1.3,1,1.3,1.3,rating_signal
6,node_3,0.4,1,0.4,0.4,brand_signal
6,node_4,1.1,1,1.1,1.1,sentence_context
6,node_5,0.7,1,0.7,0.7,contrast_context
7,node_1,0.9,1,0.9,0.9,shipping_shortcut
7,node_2,1.3,1,1.3,1.3,rating_signal
7,node_3,0.4,1,0.4,0.4,brand_signal
7,node_4,1.1,1,1.1,1.1,sentence_context
7,node_5,0.7,0,0.0,0.7,contrast_context
8,node_1,0.9,1,0.9,0.9,shipping_shortcut
8,node_2,1.3,0,0.0,1.3,rating_signal
8,node_3,0.4,0,0.0,0.4,brand_signal
8,node_4,1.1,1,1.1,1.1,sentence_context
8,node_5,0.7,1,0.7,0.7,contrast_context
9,node_1,0.9,0,0.0,0.9,shipping_shortcut
9,node_2,1.3,1,1.3,1.3,rating_signal
9,node_3,0.4,1,0.4,0.4,brand_signal
9,node_4,1.1,0,0.0,1.1,sentence_context
9,node_5,0.7,1,0.7,0.7,contrast_context
10,node_1,0.9,1,0.9,0.9,shipping_shortcut
10,node_2,1.3,1,1.3,1.3,rating_signal
10,node_3,0.4,0,0.0,0.4,brand_signal
10,node_4,1.1,0,0.0,1.1,sentence_context
10,node_5,0.7,1,0.7,0.7,contrast_context
11,node_1,0.9,0,0.0,0.9,shipping_shortcut
11,node_2,1.3,1,1.3,1.3,rating_signal
11,node_3,0.4,0,0.0,0.4,brand_signal
11,node_4,1.1,1,1.1,1.1,sentence_context
11,node_5,0.7,1,0.7,0.7,contrast_context
12,node_1,0.9,1,0.9,0.9,shipping_shortcut
12,node_2,1.3,0,0.0,1.3,rating_signal
12,node_3,0.4,1,0.4,0.4,brand_signal
12,node_4,1.1,1,1.1,1.1,sentence_context
12,node_5,0.7,0,0.0,0.7,contrast_context
