doc_id,topic,version,boundary_hint,reader_hint,config_axis,recovery_axis,flow_axis
sdk_v2_request_timeout,request timeout,v2,current_version_candidate,用于 2.x 请求 timeout 设置的基准文档,0.90,0.18,0.10
sdk_v1_request_timeout_guide,request timeout,v1,old_version_collision,词语很相近但基于 1.x，不能用于当前设置说明,0.93,0.16,0.09
sdk_general_request_timeout_notes,request timeout,general,general_note_collision,说明 timeout 概念，但缺少 SDK 版本条件,0.87,0.22,0.12
sdk_v2_retry_backoff,retry backoff,v2,current_version_candidate,用于 2.x 重试间隔和 backoff 规则的基准文档,0.38,0.92,0.09
sdk_v1_retry_backoff_guide,retry backoff,v1,old_version_collision,backoff 表达相近，但旧默认值会让 top-1 错误,0.41,0.91,0.08
sdk_general_retry_backoff_notes,retry backoff,general,general_note_collision,说明重试概念，但缺少 2.x 适用条件,0.35,0.97,0.11
sdk_v2_auth_refresh_flow,auth refresh flow,v2,current_version_candidate,用于 2.x 认证 token 刷新顺序的基准文档,0.30,0.20,0.95
sdk_v1_auth_refresh_flow_guide,auth refresh flow,v1,old_version_collision,刷新流程相似，但 1.x 认证流程会干扰当前登录问题,0.33,0.18,0.94
sdk_general_auth_refresh_flow_notes,auth refresh flow,general,general_note_collision,说明 token 刷新概念，但不能确定版本特定调用顺序,0.27,0.24,0.97
sdk_v2_billing_invoice,billing invoice,v2,current_version_candidate,用于 2.x 发票查询端点和发票处理规则的文档,0.76,0.51,0.16
sdk_v1_billing_invoice_guide,billing invoice,v1,old_version_collision,invoice 术语匹配，但 1.x 支付 API 会污染当前回答,0.79,0.49,0.15
sdk_general_billing_invoice_notes,billing invoice,general,general_note_collision,只说明账单概念，作为 2.x 端点依据较弱,0.73,0.56,0.18
sdk_v2_webhook_signature,webhook signature,v2,current_version_candidate,用于 2.x webhook 签名验证和 header 检查规则的文档,0.22,0.70,0.62
sdk_v1_webhook_signature_guide,webhook signature,v1,old_version_collision,同一签名主题，但可能混入 1.x header 规则,0.24,0.68,0.61
sdk_general_webhook_signature_notes,webhook signature,general,general_note_collision,webhook 安全概念相关，但不能确定 2.x 签名顺序,0.19,0.74,0.64
sdk_v2_streaming_events,streaming events,v2,current_version_candidate,用于 2.x streaming event 顺序和事件名的基准文档,0.58,0.34,0.73
sdk_v1_streaming_events_guide,streaming events,v1,old_version_collision,streaming 表达相近，但旧事件名会破坏当前代码,0.60,0.33,0.72
sdk_general_streaming_events_notes,streaming events,general,general_note_collision,说明实时事件，但不能替代 2.x 事件处理规则,0.55,0.39,0.75
sdk_v2_rate_limit,rate limit,v2,current_version_candidate,用于 2.x rate limit 和重试规则的基准文档,0.42,0.82,0.36
sdk_v1_rate_limit_guide,rate limit,v1,old_version_collision,rate limit 词语匹配，但 1.x 限制会扭曲重试判断,0.45,0.80,0.35
sdk_general_rate_limit_notes,rate limit,general,general_note_collision,说明 429 处理，但不能确认 2.x 限制或重试条件,0.39,0.86,0.38
