event_id,pair_id,segment_1,segment_2,segment_3,segment_4,expected_shape,review_note
PAT-01,A,1.8,2.2,2.7,3.3,rising,평균은 같지만 후반으로 갈수록 값이 높아지는 패턴
PAT-02,A,2.5,2.5,2.5,2.5,flat,평균은 같지만 전체 구간이 거의 평평한 패턴
PAT-03,B,3.2,2.8,2.2,1.8,falling,평균은 같지만 후반으로 갈수록 값이 낮아지는 패턴
PAT-04,B,2.1,2.9,2.9,2.1,middle_high,평균은 같지만 중간 구간만 높은 패턴
PAT-05,C,1.7,3.3,3.3,1.7,middle_high,평균은 같지만 중간 집중이 더 강한 패턴
PAT-06,C,3.3,1.7,1.7,3.3,edge_high,평균은 같지만 양끝 구간이 높은 패턴
PAT-07,C,1.9,2.1,2.9,3.1,rising,후반 상승이 뚜렷한 후보
PAT-08,C,2.7,2.6,2.4,2.3,falling,완만한 하강 후보
PAT-09,D,2.5,2.5,2.5,2.5,flat,평균과 분산이 모두 낮은 후보
PAT-10,D,1.9,3.1,3.0,2.0,middle_high,중간 구간이 높은 후보
PAT-11,E,3.0,2.0,2.0,3.0,edge_high,양끝 구간이 높은 후보
PAT-12,E,2.2,2.9,2.2,2.7,zigzag,평균만으로는 숨는 지그재그 후보
PAT-13,F,1.9,2.1,2.9,3.1,rising,후반 상승이 뚜렷한 후보
PAT-14,F,2.7,2.6,2.4,2.3,falling,완만한 하강 후보
PAT-15,G,2.5,2.5,2.5,2.5,flat,평균과 분산이 모두 낮은 후보
PAT-16,G,1.9,3.1,3.0,2.0,middle_high,중간 구간이 높은 후보
PAT-17,H,3.0,2.0,2.0,3.0,edge_high,양끝 구간이 높은 후보
PAT-18,H,2.2,2.9,2.2,2.7,zigzag,평균만으로는 숨는 지그재그 후보
PAT-19,I,1.9,2.1,2.9,3.1,rising,후반 상승이 뚜렷한 후보
PAT-20,I,2.7,2.6,2.4,2.3,falling,완만한 하강 후보
PAT-21,J,2.5,2.5,2.5,2.5,flat,평균과 분산이 모두 낮은 후보
PAT-22,J,1.9,3.1,3.0,2.0,middle_high,중간 구간이 높은 후보
PAT-23,K,3.0,2.0,2.0,3.0,edge_high,양끝 구간이 높은 후보
PAT-24,K,2.2,2.9,2.2,2.7,zigzag,평균만으로는 숨는 지그재그 후보
PAT-25,L,1.9,2.1,2.9,3.1,rising,후반 상승이 뚜렷한 후보
PAT-26,L,2.7,2.6,2.4,2.3,falling,완만한 하강 후보
PAT-27,M,2.5,2.5,2.5,2.5,flat,평균과 분산이 모두 낮은 후보
PAT-28,M,1.9,3.1,3.0,2.0,middle_high,중간 구간이 높은 후보
PAT-29,N,3.0,2.0,2.0,3.0,edge_high,양끝 구간이 높은 후보
PAT-30,N,2.2,2.9,2.2,2.7,zigzag,평균만으로는 숨는 지그재그 후보
PAT-31,O,1.9,2.1,2.9,3.1,rising,후반 상승이 뚜렷한 후보
PAT-32,O,2.7,2.6,2.4,2.3,falling,완만한 하강 후보
PAT-33,P,2.5,2.5,2.5,2.5,flat,평균과 분산이 모두 낮은 후보
PAT-34,P,1.9,3.1,3.0,2.0,middle_high,중간 구간이 높은 후보
PAT-35,Q,3.0,2.0,2.0,3.0,edge_high,양끝 구간이 높은 후보
PAT-36,Q,2.2,2.9,2.2,2.7,zigzag,평균만으로는 숨는 지그재그 후보
