query_id,question,query_groups,requires_review,scenario
query_001,本月入职的员工可以马上使用夏季休假吗,onboarding|leave,no,multi_evidence
query_002,新福利积分可以从本周开始使用吗,benefits,yes,single_evidence
query_003,本月开始夜班津贴是多少,night|allowance,yes,retrieval_failed
query_004,我可以从下周开始申请远程办公吗,remote|approval,no,multi_evidence
query_005,办公设备在哪里申请,equipment|lookup,no,multi_evidence
query_006,培训费用可以在完成前报销吗,training|expense|approval,yes,multi_evidence
query_007,我可以把含有个人数据的文件分享给公司外部吗,personal_data|security|approval,yes,multi_evidence
query_008,我可以立即把退款例外告知客户吗,refund|exception|approval,yes,multi_evidence
query_009,我可以马上获得临时系统访问权限吗,access|approval,yes,multi_evidence
query_010,发现疑似安全事件时应该通知谁,security|incident|record,no,multi_evidence
query_011,在哪里可以查询我的剩余休假天数,leave|lookup,no,multi_evidence
query_012,工作费用报销需要附上哪些材料,expense|reimbursement,no,multi_evidence
query_013,新公告的福利项目可以在通知发布前使用吗,benefits|approval,yes,multi_evidence
query_014,入职后马上使用月度休假的条件是什么,onboarding|leave,no,multi_evidence
query_015,夏季休假可以不经批准登记吗,leave|approval,yes,multi_evidence
query_016,领取设备需要部门负责人批准吗,equipment|approval,no,multi_evidence
query_017,安全事件记录应该保留吗,security|incident|record,no,multi_evidence
query_018,访问请求应该包含期间吗,access|record,no,multi_evidence
query_019,客户退款例外需要哪些记录,refund|exception|record,no,multi_evidence
query_020,远程办公和安全标准应该一起检查吗,remote|security,yes,multi_evidence
query_021,培训费用和工作费用报销按同一方式处理吗,training|expense|reimbursement,yes,multi_evidence
query_022,为什么个人数据访问需要批准记录,personal_data|approval|record,yes,multi_evidence
query_023,我可以在 HR 系统里同时查询工资和休假吗,lookup|payroll,yes,single_evidence
query_024,福利项目和培训支持遵循同一批准流程吗,benefits|training|approval,yes,multi_evidence
query_025,客户支持负责人批准只适用于退款例外吗,refund|approval|exception,yes,multi_evidence
query_026,访问权限是在资产管理系统中申请吗,equipment|access|lookup,yes,multi_evidence
query_027,向安全团队报告后可以马上通知客户吗,security|incident|customer,yes,multi_evidence
query_028,团队日程和夏季休假批准应该怎样一起检查,leave|approval,no,multi_evidence
query_029,中途退职结算在哪里申请,severance|reimbursement,yes,single_evidence
query_030,夜班餐费津贴政策在哪里,night|meal,yes,retrieval_failed
query_031,出差机票预订政策是什么,travel|booking,yes,retrieval_failed
query_032,公司卡丢失时应该通知谁,corporate_card|lost,yes,retrieval_failed
query_033,招聘面试费用支付标准是什么,recruiting|interview_expense,yes,retrieval_failed
query_034,内部社团补贴是多少,club|subsidy,yes,retrieval_failed
query_035,病假证明应该什么时候提交,sick_leave|certificate,yes,retrieval_failed
query_036,奖金计算标准在哪里可以查询,bonus|calculation,yes,retrieval_failed
