event_id,event_order,progress_pct,phase,flow_rate,pressure,tracking_error
E001,1,10,early,1.10,5.8,0.03
E001,1,50,middle,2.33,8.9,0.04
E001,1,90,late,2.12,8.4,0.05
E002,2,10,early,1.08,5.7,0.04
E002,2,50,middle,2.28,8.8,0.05
E002,2,90,late,2.07,8.3,0.05
E003,3,10,early,1.12,5.9,0.03
E003,3,50,middle,2.36,9.0,0.04
E003,3,90,late,2.20,8.6,0.04
E004,4,10,early,1.09,5.8,0.04
E004,4,50,middle,2.31,8.7,0.05
E004,4,90,late,2.08,8.2,0.06
E005,5,10,early,1.11,5.8,0.03
E005,5,50,middle,2.34,8.9,0.04
E005,5,90,late,2.16,8.5,0.05
E006,6,10,early,1.07,5.7,0.05
E006,6,50,middle,2.28,8.8,0.06
E006,6,90,late,2.08,8.3,0.07
E007,7,10,early,1.13,5.9,0.03
E007,7,50,middle,2.36,9.0,0.04
E007,7,90,late,2.21,8.6,0.04
E008,8,10,early,1.09,5.8,0.04
E008,8,50,middle,2.30,8.8,0.05
E008,8,90,late,2.09,8.3,0.06
E009,9,10,early,1.05,5.6,0.05
E009,9,50,middle,2.04,8.5,0.07
E009,9,90,late,1.71,7.8,0.09
E010,10,10,early,1.28,6.4,0.16
E010,10,50,middle,2.42,9.1,0.21
E010,10,90,late,2.30,8.8,0.20
E011,11,10,early,1.02,5.5,0.06
E011,11,50,middle,2.01,8.4,0.08
E011,11,90,late,1.65,7.6,0.10
E012,12,10,early,1.01,5.5,0.07
E012,12,50,middle,1.95,8.3,0.09
E012,12,90,late,1.56,7.5,0.11
