doc_id,title,text,category,source_role,reader_hint
R01,벡터 검색 기본 설명,벡터 검색은 의미가 비슷한 텍스트를 벡터 공간에서 가깝게 찾는 검색 방식이다. 키워드가 달라도 의미 기반 검색이 가능하다.,retrieval,primary_evidence,질문 의미와 문서 핵심어가 함께 맞는지 확인
R02,키워드 검색과 의미 검색 차이,"키워드 검색은 같은 단어가 있는지 먼저 보지만, 의미 검색은 질문과 문서의 의미가 가까운지 비교한다. 그래서 표현이 달라도 관련 문서를 찾을 수 있다.",retrieval,primary_evidence,키워드 일치와 의미 일치의 차이를 비교
R03,임베딩과 유사도,"임베딩은 텍스트를 숫자 벡터로 바꾸고, 유사도 계산은 질문 벡터와 문서 벡터가 얼마나 가까운지 비교한다.",retrieval,supporting_explanation,벡터와 유사도 용어를 보강하는 문서
R04,RAG 검색 단계,"RAG에서는 먼저 관련 문서를 검색하고, 그 문서를 생성 입력에 붙인 뒤 답변을 만든다. 검색과 생성은 분리해서 점검해야 한다.",retrieval,supporting_explanation,검색 단계와 생성 단계 분리를 설명하는 문서
R05,문서 근거와 답변 범위,검색된 문서는 답변이 넘지 말아야 할 근거 범위를 만든다. 문서에 없는 내용을 단정하면 생성 단계의 과장이 된다.,retrieval,boundary_caution,생성 과장 판정에 필요한 경계 문서
R06,최신 정보와 검색,"검색은 최신 문서를 붙일 수 있게 돕지만, 검색 결과가 항상 최신 정보나 정답을 보장하지는 않는다.",retrieval,boundary_caution,항상 보장한다는 과장을 막는 문서
R07,동의어 질문 처리,사용자가 다른 표현으로 질문해도 임베딩 기반 검색은 의미가 가까운 문서를 후보로 올릴 수 있다.,retrieval,supporting_explanation,표현 차이와 검색 회수율을 설명하는 문서
R08,top-k 후보 확인,검색 품질을 볼 때는 최종 답만 보지 말고 어떤 문서가 top-k 후보로 붙었는지 먼저 확인한다.,retrieval,supporting_explanation,검색 기록 확인을 강조하는 문서
R09,무관 문서 혼입,검색어가 넓거나 잡음이 섞이면 관련 없는 문서가 후보에 들어올 수 있다. 이때 생성 답변도 함께 오염된다.,retrieval,boundary_caution,검색 실패가 생성으로 전염되는 경계 문서
R10,검색어 설계,검색어는 질문의 핵심 의미를 담아야 한다. 장식적인 단어나 업무와 무관한 단어가 섞이면 후보 품질이 흔들린다.,retrieval,supporting_explanation,retrieval_terms 조작 이유를 설명하는 문서
R11,근거 문서 제목 기록,RAG 답변을 검토할 때는 답변 본문뿐 아니라 사용된 문서 제목과 검색 점수를 함께 남기면 원인 추적이 쉬워진다.,retrieval,supporting_explanation,문서 제목 기록 필요성을 설명하는 문서
R12,검색 실패와 생성 실패 분리,"답변이 틀렸을 때 검색 문서가 틀렸는지, 문서는 맞지만 생성이 과장했는지 분리해서 보아야 한다.",retrieval,primary_evidence,검색 기록과 답변 문장을 따로 볼 때 기준이 되는 문서
R13,질문 재작성,질문이 모호하면 검색 전 단계에서 질문을 더 구체적으로 다시 쓰는 것이 도움이 될 수 있다.,retrieval,supporting_explanation,모호한 질문 처리 보조 문서
R14,문서 조각 크기,"문서를 너무 크게 자르면 필요한 근거가 묻히고, 너무 작게 자르면 앞뒤 맥락이 사라질 수 있다.",retrieval,supporting_explanation,chunk 경계 보조 문서
R15,출처 표시,생성 답변에 어떤 문서를 참고했는지 남기면 사용자가 근거를 다시 확인할 수 있다.,retrieval,supporting_explanation,출처 표시 보조 문서
R16,정책 문서 검색,"정책 질문은 최신 정책 문서, 예외 조건, 적용 날짜를 함께 검색해야 답변 범위를 정할 수 있다.",retrieval,domain_example,정책형 질문 예시 문서
R17,고객 지원 검색,"고객 지원 답변에서는 주문 상태, 정책 문서, 이전 상담 기록이 함께 후보로 붙을 수 있다.",retrieval,domain_example,고객 지원 예시 문서
R18,개발 문서 검색,"개발 문서 검색에서는 버전, 함수 이름, 오류 메시지가 후보 품질에 큰 영향을 준다.",retrieval,domain_example,개발 문서 예시 문서
X01,마케팅 문구 A/B 테스트,무관한 마케팅 문구를 더 다양하게 조합해 홍보 문안을 만드는 설명이다. 검색 품질 판단과 직접 관련이 없다.,irrelevant,off_topic_noise,검색어가 홍보 쪽으로 기울 때 섞일 수 있는 문서
X02,홍보 배너 문장 후보,마케팅 캠페인용 문구와 홍보 배너 문장을 다양하게 바꾸는 방법을 설명한다. 벡터 검색 근거가 아니다.,irrelevant,off_topic_noise,무관 문구가 답변 근거로 쓰이면 주제가 바뀌는지 확인
X03,이벤트 쿠폰 문안,쿠폰 이벤트 안내 문구를 짧고 다양하게 쓰는 방법을 설명한다. RAG 검색 단계와는 관련이 없다.,irrelevant,off_topic_noise,마케팅 계열 검색 오염 후보
X04,브랜드 슬로건 후보,브랜드 이미지를 강조하는 슬로건과 홍보 문구를 만드는 예시를 담고 있다.,irrelevant,off_topic_noise,홍보 단어가 섞일 때 선택되는 문서
X05,소셜 미디어 게시글,소셜 미디어 게시글의 반응을 높이기 위해 문장을 다양하게 바꾸는 방법을 설명한다.,irrelevant,off_topic_noise,소셜 홍보 검색 오염 후보
X06,광고 문구 길이 조정,광고 문구를 더 짧게 만들거나 강조 표현을 넣는 방법을 설명한다.,irrelevant,off_topic_noise,문구 조정 검색 오염 후보
X07,뉴스레터 제목 후보,뉴스레터 제목을 눈에 띄게 만들기 위해 홍보 표현을 고르는 방법을 설명한다.,irrelevant,off_topic_noise,제목 홍보 검색 오염 후보
X08,랜딩 페이지 카피,랜딩 페이지의 첫 문장을 강하게 쓰는 마케팅 카피 작성 방법을 설명한다.,irrelevant,off_topic_noise,카피라이팅 검색 오염 후보
X09,세일즈 문구 모음,세일즈 메시지에서 구매를 유도하는 문구를 다양하게 만드는 방법을 설명한다.,irrelevant,off_topic_noise,세일즈 검색 오염 후보
X10,고객 후기 편집,고객 후기를 홍보 문장으로 다시 편집하는 방법을 설명한다.,irrelevant,off_topic_noise,후기 편집 검색 오염 후보
X11,프로모션 문장 번역,프로모션 문장을 다른 언어로 번역할 때 톤을 유지하는 방법을 설명한다.,irrelevant,off_topic_noise,번역 홍보 검색 오염 후보
X12,캠페인 문구 분류,"캠페인 문구를 감성형, 가격형, 긴급형으로 나누는 방법을 설명한다.",irrelevant,off_topic_noise,분류형 홍보 검색 오염 후보
X13,디자인 시안 설명,디자인 시안의 색상과 분위기를 설명하는 문구를 만드는 방법을 다룬다.,irrelevant,adjacent_noise,생성형 AI 일반 문구지만 RAG 검색과 직접 관련 없음
X14,행사 안내 문구,오프라인 행사 안내 문구와 신청 유도 문장을 작성하는 방법을 설명한다.,irrelevant,off_topic_noise,행사 홍보 검색 오염 후보
X15,제품 소개 문장,제품 장점을 강조하는 소개 문장을 다양하게 만드는 방법을 설명한다.,irrelevant,off_topic_noise,제품 홍보 검색 오염 후보
X16,광고 성과 리포트,광고 클릭률과 전환율을 요약하는 리포트 문장을 작성하는 방법을 설명한다.,irrelevant,adjacent_noise,리포트 문서처럼 보이지만 검색 품질과 무관
X17,문구 톤 변환,같은 홍보 문구를 친근한 톤과 전문적인 톤으로 바꾸는 방법을 설명한다.,irrelevant,off_topic_noise,톤 변환 검색 오염 후보
X18,브랜드 가이드 문장,브랜드 가이드에 맞춰 문장을 다양하게 다듬는 방법을 설명한다.,irrelevant,off_topic_noise,브랜드 문구 검색 오염 후보
