date,channel,visitors,signups,errors
2026-06-01,organic,520,64,1
2026-06-01,search,410,37,1
2026-06-01,ads,300,30,2
2026-06-02,organic,540,66,1
2026-06-02,search,420,38,1
2026-06-02,ads,310,31,2
2026-06-03,organic,535,65,1
2026-06-03,search,415,37,1
2026-06-03,ads,320,32,2
2026-06-04,organic,550,67,1
2026-06-04,search,425,38,1
2026-06-04,ads,330,32,3
2026-06-05,organic,560,68,1
2026-06-05,search,430,39,1
2026-06-05,ads,340,33,3
2026-06-06,organic,545,66,1
2026-06-06,search,418,37,1
2026-06-06,ads,325,31,2
2026-06-07,organic,530,64,1
2026-06-07,search,412,36,1
2026-06-07,ads,315,30,2
2026-06-08,organic,555,67,1
2026-06-08,search,428,38,1
2026-06-08,ads,360,25,6
2026-06-09,organic,565,68,1
2026-06-09,search,432,38,1
2026-06-09,ads,370,24,6
2026-06-10,organic,570,69,1
2026-06-10,search,438,39,1
2026-06-10,ads,385,24,7
2026-06-11,organic,575,70,1
2026-06-11,search,442,39,1
2026-06-11,ads,390,23,8
2026-06-12,organic,580,70,1
2026-06-12,search,445,40,1
2026-06-12,ads,400,24,8
2026-06-13,organic,568,68,1
2026-06-13,search,440,39,1
2026-06-13,ads,395,23,7
2026-06-14,organic,572,69,1
2026-06-14,search,444,39,1
2026-06-14,ads,405,24,8
