doc_id,topic,version,boundary_hint,reader_hint,config_axis,recovery_axis,flow_axis
sdk_v2_request_timeout,request timeout,v2,current_version_candidate,Baseline document for 2.x request timeout configuration,0.90,0.18,0.10
sdk_v1_request_timeout_guide,request timeout,v1,old_version_collision,Very similar terms but based on 1.x so it must not be used for current configuration guidance,0.93,0.16,0.09
sdk_general_request_timeout_notes,request timeout,general,general_note_collision,Explains the timeout concept but lacks SDK version conditions and should remain supporting material in strict search,0.87,0.22,0.12
sdk_v2_retry_backoff,retry backoff,v2,current_version_candidate,Baseline document for 2.x retry interval and backoff rules,0.38,0.92,0.09
sdk_v1_retry_backoff_guide,retry backoff,v1,old_version_collision,Backoff wording is close but old defaults would make it wrong as top-1,0.41,0.91,0.08
sdk_general_retry_backoff_notes,retry backoff,general,general_note_collision,Explains retry concepts but lacks 2.x application conditions,0.35,0.97,0.11
sdk_v2_auth_refresh_flow,auth refresh flow,v2,current_version_candidate,Baseline document for the 2.x authentication token refresh order,0.30,0.20,0.95
sdk_v1_auth_refresh_flow_guide,auth refresh flow,v1,old_version_collision,Similar refresh flow but risky for current login issues because it uses the 1.x auth procedure,0.33,0.18,0.94
sdk_general_auth_refresh_flow_notes,auth refresh flow,general,general_note_collision,Covers token refresh concepts but cannot determine version-specific call order,0.27,0.24,0.97
sdk_v2_billing_invoice,billing invoice,v2,current_version_candidate,Document for 2.x invoice lookup endpoint and invoice handling rules,0.76,0.51,0.16
sdk_v1_billing_invoice_guide,billing invoice,v1,old_version_collision,The invoice term matches but the 1.x payment API can contaminate current answers,0.79,0.49,0.15
sdk_general_billing_invoice_notes,billing invoice,general,general_note_collision,Only explains billing concepts and is weak as evidence for choosing a 2.x endpoint,0.73,0.56,0.18
sdk_v2_webhook_signature,webhook signature,v2,current_version_candidate,Document for 2.x webhook signature verification and header checking rules,0.22,0.70,0.62
sdk_v1_webhook_signature_guide,webhook signature,v1,old_version_collision,Same signature topic but may mix in 1.x header rules,0.24,0.68,0.61
sdk_general_webhook_signature_notes,webhook signature,general,general_note_collision,Webhook security concept is relevant but does not settle the 2.x signature order,0.19,0.74,0.64
sdk_v2_streaming_events,streaming events,v2,current_version_candidate,Baseline document for 2.x streaming event order and event names,0.58,0.34,0.73
sdk_v1_streaming_events_guide,streaming events,v1,old_version_collision,Streaming wording is close but old event names can break current code,0.60,0.33,0.72
sdk_general_streaming_events_notes,streaming events,general,general_note_collision,Explains real-time events but cannot replace 2.x event handling rules,0.55,0.39,0.75
sdk_v2_rate_limit,rate limit,v2,current_version_candidate,Baseline document for 2.x rate limits and retry rules,0.42,0.82,0.36
sdk_v1_rate_limit_guide,rate limit,v1,old_version_collision,The rate limit words match but 1.x limits can distort retry decisions,0.45,0.80,0.35
sdk_general_rate_limit_notes,rate limit,general,general_note_collision,Explains 429 handling but cannot confirm 2.x limits or retry conditions,0.39,0.86,0.38
sdk_v2_file_upload,file upload,v2,current_version_candidate,Baseline document for 2.x file upload limits and accepted formats,0.66,0.28,0.69
sdk_v1_file_upload_guide,file upload,v1,old_version_collision,Upload topic matches but 1.x limits can misread current failures,0.69,0.27,0.68
sdk_general_file_upload_notes,file upload,general,general_note_collision,General upload explanation and not enough evidence for 2.x limits,0.63,0.33,0.71
sdk_v2_logging_trace,logging trace,v2,current_version_candidate,Baseline document for 2.x request trace logging setup and trace records,0.18,0.57,0.79
sdk_v1_logging_trace_guide,logging trace,v1,old_version_collision,Trace wording is close but 1.x logging settings may not match current observations,0.20,0.55,0.78
sdk_general_logging_trace_notes,logging trace,general,general_note_collision,Explains trace logging but cannot determine the 2.x setting key or output location,0.15,0.61,0.81
sdk_v2_proxy_network,proxy network,v2,current_version_candidate,Baseline document for 2.x proxy network settings and request routing conditions,0.84,0.40,0.24
sdk_v1_proxy_network_guide,proxy network,v1,old_version_collision,Proxy wording matches but 1.x network settings can produce wrong current environment guidance,0.86,0.39,0.23
sdk_general_proxy_network_notes,proxy network,general,general_note_collision,Explains proxy concepts but does not give the SDK 2.x setting location,0.81,0.45,0.26
sdk_v2_cache_policy,cache policy,v2,current_version_candidate,Baseline document for 2.x cache invalidation and response reuse rules,0.52,0.76,0.24
sdk_v1_cache_policy_guide,cache policy,v1,old_version_collision,Same cache policy topic but 1.x invalidation rules can conflict with current rules,0.55,0.74,0.23
sdk_general_cache_policy_notes,cache policy,general,general_note_collision,Cache concept is relevant but does not determine 2.x policy keys or expiration conditions,0.49,0.81,0.26
sdk_v2_region_endpoint,region endpoint,v2,current_version_candidate,Document for 2.x region endpoint selection and target request region,0.72,0.24,0.58
sdk_v1_region_endpoint_guide,region endpoint,v1,old_version_collision,Endpoint topic matches but 1.x region rules can break current request routing,0.74,0.22,0.57
sdk_general_region_endpoint_notes,region endpoint,general,general_note_collision,Explains region endpoint concepts but cannot determine 2.x selection rules,0.69,0.28,0.60
sdk_v2_pagination_cursor,pagination cursor,v2,current_version_candidate,Document for 2.x pagination cursor order and next cursor handling,0.62,0.48,0.41
