doc_id,title,text,category,source_role,reader_hint
R01,Vector Search Basics,Vector search finds semantically similar text by placing it near the query in vector space. It can retrieve by meaning even when keywords differ.,retrieval,primary_evidence,Check whether the question meaning and document keywords both match
R02,Keyword Search and Semantic Search,"Keyword search first checks whether the same words appear, while semantic search compares whether the question and document meanings are close. This can retrieve related documents even when wording differs.",retrieval,primary_evidence,Compare lexical matching with semantic matching
R03,Embeddings and Similarity,"An embedding turns text into a numeric vector, and a similarity calculation compares how close the question vector is to each document vector.",retrieval,supporting_explanation,Support the vector and similarity terminology
R04,RAG Retrieval Stage,"In RAG, the system first retrieves relevant documents, attaches those documents to the generation input, and then produces an answer. Retrieval and generation should be inspected separately.",retrieval,supporting_explanation,Explain the split between retrieval and generation
R05,Document Evidence and Answer Scope,Retrieved documents define the evidence boundary an answer should not exceed. Asserting content that is not in the documents is overclaiming at the generation stage.,retrieval,boundary_caution,Boundary document for detecting generation overclaiming
R06,Freshness and Retrieval,"Retrieval can help attach current documents, but retrieved results do not always guarantee current information or correct answers.",retrieval,boundary_caution,Document that blocks the overclaim that retrieval always guarantees freshness
R07,Handling Synonym Questions,Even when users ask with different wording, embedding-based retrieval can raise documents with close meaning as candidates.,retrieval,supporting_explanation,Explain expression differences and retrieval recall
R08,Checking Top-k Candidates,When evaluating retrieval quality, do not look only at the final answer; first check which documents were attached as top-k candidates.,retrieval,supporting_explanation,Emphasize inspection of retrieval records
R09,Irrelevant Document Contamination,If search terms are broad or noisy, irrelevant documents can enter the candidate set. The generated answer can then become contaminated as well.,retrieval,boundary_caution,Boundary document for retrieval failure spreading into generation
R10,Search Term Design,Search terms should carry the core meaning of the question. Decorative words or task-irrelevant words can destabilize candidate quality.,retrieval,supporting_explanation,Explain why retrieval_terms are manipulated
R11,Recording Evidence Document Titles,When reviewing a RAG answer, keeping the used document titles and retrieval scores along with the answer makes root-cause tracing easier.,retrieval,supporting_explanation,Explain why document titles should be recorded
R12,Separating Retrieval Failure and Generation Failure,"When an answer is wrong, inspect separately whether the retrieved documents were wrong or whether the documents were right but generation overclaimed.",retrieval,primary_evidence,Criterion document for reading retrieval records and answer text separately
R13,Query Rewriting,When a question is ambiguous, rewriting it more specifically before retrieval can help.,retrieval,supporting_explanation,Support document for handling ambiguous questions
R14,Document Chunk Size,"If chunks are too large, needed evidence can be buried; if chunks are too small, surrounding context can disappear.",retrieval,supporting_explanation,Support document for chunk boundaries
R15,Citation Display,If the generated answer records which documents it used, the user can recheck the evidence.,retrieval,supporting_explanation,Support document for citation display
R16,Policy Document Retrieval,"Policy questions need current policy documents, exception conditions, and effective dates to define the answer scope.",retrieval,domain_example,Example document for policy-style questions
R17,Customer Support Retrieval,"In customer support answers, order status, policy documents, and previous support history can be attached together as candidates.",retrieval,domain_example,Example document for customer support
R18,Developer Document Retrieval,"In developer documentation retrieval, version, function name, and error message strongly affect candidate quality.",retrieval,domain_example,Example document for developer docs
X01,Marketing Copy A/B Test,This explains how to combine unrelated marketing copy into more varied promotional text. It is not directly related to retrieval quality inspection.,irrelevant,off_topic_noise,Document that can enter when search terms lean toward promotion
X02,Promotional Banner Sentence Candidates,This explains how to vary marketing campaign copy and promotional banner sentences. It is not evidence for vector search.,irrelevant,off_topic_noise,Check whether an unrelated copy document changes the answer topic
X03,Coupon Event Copy,This explains how to write short and varied coupon event messages. It is not related to the RAG retrieval stage.,irrelevant,off_topic_noise,Marketing contamination candidate for coupon terms
X04,Brand Slogan Candidates,This contains examples of slogans and promotional phrases that emphasize brand image.,irrelevant,off_topic_noise,Document selected when promotional brand words are mixed in
X05,Social Media Posts,This explains how to vary sentences to increase engagement with social media posts.,irrelevant,off_topic_noise,Social promotion contamination candidate
X06,Ad Copy Length Adjustment,This explains how to shorten ad copy or add emphasized wording.,irrelevant,off_topic_noise,Ad copy contamination candidate
X07,Newsletter Title Candidates,This explains how to choose promotional expressions to make newsletter titles stand out.,irrelevant,off_topic_noise,Newsletter promotion contamination candidate
X08,Landing Page Copy,This explains how to write strong opening lines for a landing page as marketing copy.,irrelevant,off_topic_noise,Copywriting contamination candidate
X09,Sales Message Collection,This explains how to create varied phrases that encourage purchases in sales messages.,irrelevant,off_topic_noise,Sales contamination candidate
X10,Customer Review Editing,This explains how to rewrite customer reviews as promotional sentences.,irrelevant,off_topic_noise,Review editing contamination candidate
X11,Promotion Translation,This explains how to preserve tone when translating promotional sentences into another language.,irrelevant,off_topic_noise,Promotion translation contamination candidate
X12,Campaign Copy Classification,"This explains how to classify campaign copy into emotional, price-focused, and urgency-focused types.",irrelevant,off_topic_noise,Classification-style promotion contamination candidate
X13,Design Draft Description,This covers writing sentences that describe the color and mood of a design draft.,irrelevant,adjacent_noise,General generative AI copy but not directly related to RAG retrieval
X14,Event Announcement Copy,This explains how to write offline event announcements and registration prompts.,irrelevant,off_topic_noise,Event promotion contamination candidate
X15,Product Intro Sentences,This explains how to vary introduction sentences that emphasize product benefits.,irrelevant,off_topic_noise,Product promotion contamination candidate
X16,Ad Performance Report,This explains how to write report sentences summarizing ad click-through and conversion rates.,irrelevant,adjacent_noise,Looks like a report document but is unrelated to retrieval quality
X17,Copy Tone Conversion,This explains how to convert the same promotional copy into friendly and professional tones.,irrelevant,off_topic_noise,Tone conversion contamination candidate
X18,Brand Guide Sentences,This explains how to refine sentences in varied ways according to a brand guide.,irrelevant,off_topic_noise,Brand copy contamination candidate
