run_id,check_order,check_name,status,observed_value,expected_signal,recheck_required
배포-001,1,브랜치 확인,성공,main,main,아니오
배포-001,2,로컬 빌드,성공,.venv/bin/python -m mkdocs build 성공,치명적 빌드 오류 없음,아니오
배포-001,3,Pages workflow,성공,build/deploy job 완료,GitHub Actions Pages workflow 완료,아니오
배포-001,4,공개 URL 확인,성공,수정한 Section 제목과 Version 노출,최신 원고 반영 확인,아니오
배포-002,1,브랜치 확인,성공,main,main,아니오
배포-002,2,로컬 빌드,성공,.venv/bin/python -m mkdocs build 성공,치명적 빌드 오류 없음,아니오
배포-002,3,Pages workflow,성공,build job 완료 후 deploy 대기,GitHub Actions Pages workflow 완료,예
배포-002,4,공개 URL 확인,보류,공개 주소에서 이전 Version이 아직 보임,최신 원고 반영 확인,예
배포-003,2,로컬 빌드,성공,점검값-01,기대 신호-01,아니오
배포-003,3,링크 검사,성공,점검값-02,기대 신호-02,아니오
배포-003,4,이미지 자산 확인,재확인,점검값-03,기대 신호-03,예
배포-003,5,Pages workflow,성공,점검값-04,기대 신호-04,아니오
배포-003,6,공개 URL 확인,성공,점검값-05,기대 신호-05,아니오
배포-004,1,모바일 화면 점검,성공,점검값-06,기대 신호-06,아니오
배포-004,2,릴리즈노트 대조,성공,점검값-07,기대 신호-07,아니오
배포-004,3,브랜치 확인,재확인,점검값-08,기대 신호-08,예
배포-004,4,로컬 빌드,성공,점검값-09,기대 신호-09,아니오
배포-004,5,링크 검사,성공,점검값-10,기대 신호-10,아니오
배포-004,6,이미지 자산 확인,성공,점검값-11,기대 신호-11,아니오
배포-005,1,Pages workflow,성공,점검값-12,기대 신호-12,아니오
배포-005,2,공개 URL 확인,재확인,점검값-13,기대 신호-13,예
배포-005,3,모바일 화면 점검,성공,점검값-14,기대 신호-14,아니오
배포-005,4,릴리즈노트 대조,성공,점검값-15,기대 신호-15,아니오
배포-005,5,브랜치 확인,성공,점검값-16,기대 신호-16,아니오
배포-005,6,로컬 빌드,성공,점검값-17,기대 신호-17,아니오
배포-006,1,링크 검사,재확인,점검값-18,기대 신호-18,예
배포-006,2,이미지 자산 확인,성공,점검값-19,기대 신호-19,아니오
배포-006,3,Pages workflow,성공,점검값-20,기대 신호-20,아니오
배포-006,4,공개 URL 확인,성공,점검값-21,기대 신호-21,아니오
배포-006,5,모바일 화면 점검,성공,점검값-22,기대 신호-22,아니오
배포-006,6,릴리즈노트 대조,재확인,점검값-23,기대 신호-23,예
배포-007,1,브랜치 확인,성공,점검값-24,기대 신호-24,아니오
배포-007,2,로컬 빌드,성공,점검값-25,기대 신호-25,아니오
배포-007,3,링크 검사,성공,점검값-26,기대 신호-26,아니오
배포-007,4,이미지 자산 확인,성공,점검값-27,기대 신호-27,아니오
배포-007,5,Pages workflow,재확인,점검값-28,기대 신호-28,예
