event_id,batch_id,recipe,second,pressure,flow,vibration,temperature
A,B-17,standard,0,1.0,0.0,0.02,24.1
A,B-17,standard,1,2.0,1.4,0.04,24.4
A,B-17,standard,2,2.4,1.6,0.07,24.8
A,B-17,standard,3,2.2,1.2,0.08,25.0
B,B-17,standard,0,1.1,0.1,0.03,24.0
B,B-17,standard,1,1.7,1.0,0.05,24.3
B,B-17,standard,2,1.9,1.1,0.06,24.6
B,B-17,standard,3,1.8,0.9,0.06,24.7
C,B-18,fast,0,1.2,0.0,0.05,24.5
C,B-18,fast,1,2.3,1.5,0.11,25.2
C,B-18,fast,2,2.8,1.7,0.18,26.1
C,B-18,fast,3,2.5,1.0,0.22,26.8
D,B-18,fast,0,1.0,0.2,0.04,24.7
D,B-18,fast,1,2.1,1.3,0.10,25.1
D,B-18,fast,2,2.6,1.5,0.14,25.8
D,B-18,fast,3,2.4,1.1,0.16,26.2
E,B-19,standard,0,0.9,0.0,0.02,23.9
E,B-19,standard,1,1.8,1.2,0.04,24.2
E,B-19,standard,2,2.1,1.4,0.06,24.6
E,B-19,standard,3,2.0,1.0,0.07,24.8
F,B-19,standard,0,1.2,0.1,0.03,24.2
F,B-19,standard,1,2.2,1.5,0.05,24.7
F,B-19,standard,2,2.5,1.6,0.08,25.1
F,B-19,standard,3,2.3,1.3,0.09,25.3
G,B-20,high-load,0,1.3,0.2,0.06,24.8
G,B-20,high-load,1,2.6,1.8,0.14,25.7
G,B-20,high-load,2,3.1,2.0,0.23,26.8
G,B-20,high-load,3,2.8,1.4,0.28,27.5
H,B-20,high-load,0,1.2,0.1,0.05,24.6
H,B-20,high-load,1,2.5,1.7,0.13,25.5
H,B-20,high-load,2,2.9,1.9,0.20,26.4
H,B-20,high-load,3,2.7,1.5,0.24,27.0
I,B-21,standard,0,1.0,0.0,0.02,24.0
I,B-21,standard,1,1.9,1.3,0.05,24.4
I,B-21,standard,2,2.3,1.5,0.07,24.9
I,B-21,standard,3,2.1,1.1,0.08,25.1
