event_id,early_flow_mean,mid_flow_mean,late_flow_mean,end_detected
E01,1.10,2.40,1.80,1
E02,1.00,2.50,,1
E03,1.20,,,0
E04,1.15,2.35,1.75,1
E05,1.05,2.55,,1
E06,1.25,,,0
E07,1.12,2.42,1.82,1
E08,1.02,2.52,,1
E09,1.22,,,0
E10,1.18,2.38,1.78,1
E11,1.08,2.58,,1
E12,1.28,,,0
E13,1.11,2.41,1.81,1
E14,1.01,2.51,,1
E15,1.21,,,0
E16,1.16,2.36,1.76,1
E17,1.06,2.56,,1
E18,1.26,,,0
E19,1.13,2.43,1.83,1
E20,1.03,2.53,,1
E21,1.23,,,0
E22,1.19,2.39,1.79,1
E23,1.09,2.59,,1
E24,1.29,,,0
E25,1.14,2.44,1.84,1
E26,1.04,2.54,,1
E27,1.24,,,0
E28,1.17,2.37,1.77,1
E29,1.07,2.57,,1
E30,1.27,,,0
E31,1.15,2.45,1.85,1
E32,1.05,2.55,,1
E33,1.25,,,0
E34,1.18,2.48,1.88,1
E35,1.08,2.58,,1
E36,1.28,,,0
