question_id,question
질문-01,RAG 프로젝트에서 왜 검색 후보와 선택 근거를 답변보다 먼저 기록해야 하는가?
질문-02,MCP는 왜 필요한가?
질문-03,문서 분할과 재정렬만 있으면 모든 환각이 해결되는가?
질문-04,문서 범위 밖 질문을 왜 그럴듯하게 답하면 안 되는가?
질문-05,검색 후보와 채택 근거를 왜 분리해 저장해야 하는가?
질문-06,재정렬이 답변 환각을 직접 없애지 못하는 이유는 무엇인가?
질문-07,최신 문서와 오래된 문서가 충돌할 때 무엇을 먼저 확인하는가?
질문-08,near miss 후보를 탈락시키고도 로그에 남기는 이유는 무엇인가?
질문-09,답변 거절은 언제 올바른 결과가 될 수 있는가?
질문-10,문서 분할 크기가 검색 품질에 어떤 영향을 주는가?
질문-11,근거 밖 일반화는 검색 실패와 어떻게 다른가?
질문-12,문서 범위 밖 질문을 왜 그럴듯하게 답하면 안 되는가?
질문-13,검색 후보와 채택 근거를 왜 분리해 저장해야 하는가?
질문-14,재정렬이 답변 환각을 직접 없애지 못하는 이유는 무엇인가?
질문-15,최신 문서와 오래된 문서가 충돌할 때 무엇을 먼저 확인하는가?
질문-16,near miss 후보를 탈락시키고도 로그에 남기는 이유는 무엇인가?
질문-17,답변 거절은 언제 올바른 결과가 될 수 있는가?
질문-18,문서 분할 크기가 검색 품질에 어떤 영향을 주는가?
질문-19,근거 밖 일반화는 검색 실패와 어떻게 다른가?
질문-20,문서 범위 밖 질문을 왜 그럴듯하게 답하면 안 되는가?
질문-21,검색 후보와 채택 근거를 왜 분리해 저장해야 하는가?
질문-22,재정렬이 답변 환각을 직접 없애지 못하는 이유는 무엇인가?
질문-23,최신 문서와 오래된 문서가 충돌할 때 무엇을 먼저 확인하는가?
질문-24,near miss 후보를 탈락시키고도 로그에 남기는 이유는 무엇인가?
질문-25,답변 거절은 언제 올바른 결과가 될 수 있는가?
질문-26,문서 분할 크기가 검색 품질에 어떤 영향을 주는가?
질문-27,근거 밖 일반화는 검색 실패와 어떻게 다른가?
질문-28,문서 범위 밖 질문을 왜 그럴듯하게 답하면 안 되는가?
질문-29,검색 후보와 채택 근거를 왜 분리해 저장해야 하는가?
질문-30,재정렬이 답변 환각을 직접 없애지 못하는 이유는 무엇인가?
질문-31,최신 문서와 오래된 문서가 충돌할 때 무엇을 먼저 확인하는가?
질문-32,near miss 후보를 탈락시키고도 로그에 남기는 이유는 무엇인가?
질문-33,답변 거절은 언제 올바른 결과가 될 수 있는가?
질문-34,문서 분할 크기가 검색 품질에 어떤 영향을 주는가?
질문-35,근거 밖 일반화는 검색 실패와 어떻게 다른가?
질문-36,문서 범위 밖 질문을 왜 그럴듯하게 답하면 안 되는가?
