sample,pattern_name,true_label,pred_label,class_0_prob,class_1_prob,confidence_margin,review_needed
평가-정상-안정,정상 표면,0,0,0.994,0.006,0.988,아니오
평가-결함-명확,스크래치 경고,1,1,0.003,0.997,0.994,아니오
평가-결함-약함,약한 스크래치,1,0,0.730,0.270,0.459,예
평가-후보-01,그림자 경계,1,0,0.590,0.410,0.180,예
평가-후보-02,정상 얼룩,1,1,0.350,0.650,0.300,예
평가-후보-03,부분 스크래치,1,1,0.300,0.700,0.400,아니오
평가-후보-04,약한 스크래치,0,0,0.710,0.290,0.420,아니오
평가-후보-05,그림자 경계,1,0,0.750,0.250,0.500,예
평가-후보-06,정상 얼룩,1,0,0.790,0.210,0.580,예
평가-후보-07,부분 스크래치,1,1,0.100,0.900,0.800,아니오
평가-후보-08,약한 스크래치,0,0,0.590,0.410,0.180,예
평가-후보-09,그림자 경계,1,1,0.400,0.600,0.200,예
평가-후보-10,정상 얼룩,1,0,0.670,0.330,0.340,예
평가-후보-11,부분 스크래치,1,0,0.710,0.290,0.420,예
평가-후보-12,약한 스크래치,0,0,0.750,0.250,0.500,아니오
평가-후보-13,그림자 경계,1,1,0.200,0.800,0.600,아니오
평가-후보-14,정상 얼룩,1,1,0.150,0.850,0.700,아니오
평가-후보-15,부분 스크래치,1,0,0.590,0.410,0.180,예
평가-후보-16,약한 스크래치,0,1,0.450,0.550,0.100,예
평가-후보-17,그림자 경계,1,1,0.400,0.600,0.200,예
평가-후보-18,정상 얼룩,1,1,0.350,0.650,0.300,예
평가-후보-19,부분 스크래치,1,1,0.300,0.700,0.400,아니오
평가-후보-20,약한 스크래치,0,1,0.250,0.750,0.500,예
평가-후보-21,그림자 경계,1,0,0.550,0.450,0.100,예
평가-후보-22,정상 얼룩,1,1,0.150,0.850,0.700,아니오
평가-후보-23,부분 스크래치,1,1,0.100,0.900,0.800,아니오
평가-후보-24,약한 스크래치,0,0,0.670,0.330,0.340,예
평가-후보-25,그림자 경계,1,0,0.710,0.290,0.420,예
평가-후보-26,정상 얼룩,1,0,0.750,0.250,0.500,예
평가-후보-27,부분 스크래치,1,1,0.300,0.700,0.400,아니오
평가-후보-28,약한 스크래치,0,0,0.550,0.450,0.100,예
평가-후보-29,그림자 경계,1,1,0.200,0.800,0.600,아니오
평가-후보-30,정상 얼룩,1,0,0.630,0.370,0.260,예
평가-후보-31,부분 스크래치,1,0,0.670,0.330,0.340,예
평가-후보-32,약한 스크래치,0,0,0.710,0.290,0.420,아니오
평가-후보-33,그림자 경계,1,1,0.400,0.600,0.200,예
