service_id,service_name,request_profile,quality_score,avg_latency_ms,estimated_cost_per_1k_requests,max_requests_per_minute
svc_001,fast_cached_faq,simple_faq,0.78,900,1.20,130
svc_002,balanced_support,support_policy,0.84,1700,2.30,95
svc_003,rich_deep_rag,complex_policy,0.89,3200,4.80,42
svc_004,cheap_but_weak,simple_faq,0.66,720,0.80,160
svc_005,accurate_but_capped,support_policy,0.87,1550,2.20,45
svc_006,long_context_agent,complex_policy,0.86,2800,3.90,52
svc_007,small_model_router,simple_faq,0.74,820,0.95,180
svc_008,cached_policy_reader,support_policy,0.81,1250,1.70,118
svc_009,deep_reasoning_support,complex_policy,0.90,4100,5.10,35
svc_010,low_cost_batcher,batch_summary,0.76,2350,1.30,125
svc_011,standard_rag,support_policy,0.82,1850,2.60,82
svc_012,rerank_heavy_rag,complex_policy,0.88,2450,3.40,68
svc_013,answer_only_fast,simple_faq,0.70,650,0.70,210
svc_014,hybrid_cache_rag,support_policy,0.83,1450,2.10,104
svc_015,multistep_tool_agent,operations_request,0.85,3600,4.20,38
svc_016,compressed_context_rag,support_policy,0.80,1320,1.95,108
svc_017,manual_review_route,operations_request,0.79,2600,2.80,75
svc_018,expensive_quality_push,complex_policy,0.91,2100,4.70,62
svc_019,throughput_first_router,simple_faq,0.77,980,1.10,190
svc_020,slow_but_cheap_rag,batch_summary,0.79,2850,1.40,88
svc_021,cost_guarded_support,support_policy,0.81,1650,2.95,84
svc_022,cost_over_budget_support,support_policy,0.84,1720,3.20,88
svc_023,latency_edge_support,support_policy,0.82,1980,2.40,81
svc_024,capacity_edge_support,support_policy,0.83,1780,2.50,80
svc_025,capacity_shortfall_support,support_policy,0.83,1760,2.45,79
svc_026,quality_edge_support,support_policy,0.75,1400,1.90,120
svc_027,quality_shortfall_support,support_policy,0.74,1380,1.90,122
svc_028,cache_miss_heavy_rag,complex_policy,0.86,3100,3.10,56
svc_029,balanced_multilingual,support_policy,0.82,1900,2.70,86
svc_030,high_cache_fast_rag,support_policy,0.79,1020,1.55,150
svc_031,tool_call_chain,operations_request,0.84,3300,3.60,48
svc_032,lean_tool_route,operations_request,0.78,1950,2.40,83
svc_033,summary_router,batch_summary,0.77,1200,1.35,140
svc_034,long_answer_policy,support_policy,0.85,2200,2.70,76
svc_035,aggressive_cache_answer,simple_faq,0.73,760,0.90,205
svc_036,balanced_stable_support,support_policy,0.84,1680,2.35,96
