layer,resource_name,exposed_name,resource_type,permission_scope
common_layer,policy_repository,policy_repository,document_store,read
common_layer,codebase_files,codebase_files,filesystem,read
common_layer,employee_directory,employee_directory,database,read
common_layer,calendar_service,calendar_service,api,read_write
common_layer,ticket_system,ticket_system,issue_tracker,read
common_layer,report_repository,report_repository,document_store,write
mixed_layer,policy_repository,policy_repository,,read
mixed_layer,codebase_files,codebase_files,filesystem,read
mixed_layer,employee_directory,employee_db,database,read
mixed_layer,calendar_service,calendar_service,api,read_write
mixed_layer,ticket_system,ticket_system,,read
mixed_layer,report_repository,report_repository,document_store,
