event_id,shift,load_mode,machine_id,maintenance_phase
E01,day,normal,M1,stable
E02,day,normal,M1,stable
E03,day,normal,M1,stable
E04,day,normal,M1,stable
E05,day,normal,M1,stable
E06,day,normal,M1,stable
E07,day,normal,M1,stable
E08,day,normal,M1,stable
E09,day,normal,M1,stable
E10,day,normal,M1,stable
E11,day,normal,M1,stable
E12,day,normal,M1,stable
E13,day,normal,M2,stable
E14,day,normal,M2,stable
E15,day,normal,M2,stable
E16,night,normal,M1,stable
E17,night,normal,M1,stable
E18,night,normal,M2,stable
E19,day,high,M1,stable
E20,day,high,M1,stable
E21,day,high,M2,stable
E22,night,high,M1,stable
E23,day,normal,M1,after-maintenance
E24,day,normal,M1,after-maintenance
E25,day,normal,M2,after-maintenance
E26,night,normal,M1,after-maintenance
E27,day,low,M1,stable
E28,day,low,M1,stable
E29,night,low,M2,stable
E30,night,normal,M3,stable
E31,day,normal,M3,stable
E32,day,high,M3,stable
E33,night,high,M3,after-maintenance
E34,night,normal,M3,after-maintenance
E35,day,low,M3,after-maintenance
E36,night,low,M3,after-maintenance
