case_id,equipment_group,pressure_unrecovered,target_block_score
pump-01,pump_line,1.1,2.455
pump-02,pump_line,1.4,2.97
pump-03,pump_line,1.7,3.585
pump-04,pump_line,2.0,3.85
pump-05,pump_line,2.3,4.365
pump-06,pump_line,2.6,4.98
pump-07,pump_line,2.9,5.245
pump-08,pump_line,3.2,5.76
pump-09,pump_line,3.5,6.375
pump-10,pump_line,3.8,6.64
pump-11,pump_line,4.1,7.155
pump-12,pump_line,4.4,7.77
pump-13,pump_line,4.7,8.035
pump-14,pump_line,5.0,8.55
pump-15,pump_line,5.3,9.165
pump-16,pump_line,5.6,9.43
pump-17,pump_line,5.9,9.945
pump-18,pump_line,6.2,10.56
compressor-01,compressor_line,0.9,2.215
compressor-02,compressor_line,1.2,2.77
compressor-03,compressor_line,1.5,3.125
compressor-04,compressor_line,1.8,3.73
compressor-05,compressor_line,2.1,3.835
compressor-06,compressor_line,2.4,4.39
compressor-07,compressor_line,2.7,4.745
compressor-08,compressor_line,3.0,5.35
compressor-09,compressor_line,3.3,5.455
compressor-10,compressor_line,3.6,6.01
compressor-11,compressor_line,3.9,6.365
compressor-12,compressor_line,4.2,6.97
compressor-13,compressor_line,4.5,7.075
compressor-14,compressor_line,4.8,7.63
compressor-15,compressor_line,5.1,7.985
compressor-16,compressor_line,5.4,8.59
compressor-17,compressor_line,5.7,8.695
compressor-18,compressor_line,6.0,9.25
