request_id,request_type,input_tokens,priority
req_001,faq,600,normal
req_002,faq,850,normal
req_003,faq,1100,normal
req_004,faq,700,normal
req_005,faq,900,normal
req_006,faq,1200,normal
req_007,faq,500,normal
req_008,faq,750,normal
req_009,summary,2400,normal
req_010,summary,3200,normal
req_011,summary,3800,normal
req_012,summary,4500,normal
req_013,summary,5200,normal
req_014,summary,6100,high
req_015,summary,2800,normal
req_016,summary,3600,normal
req_017,contract_review,6200,high
req_018,contract_review,7600,high
req_019,contract_review,9100,high
req_020,contract_review,12000,high
req_021,contract_review,15000,high
req_022,contract_review,6800,high
req_023,contract_review,8400,high
req_024,contract_review,10500,high
req_025,code_assistant,4100,normal
req_026,code_assistant,5600,normal
req_027,code_assistant,7200,normal
req_028,code_assistant,9800,high
req_029,code_assistant,13000,high
req_030,code_assistant,4800,normal
req_031,code_assistant,6400,normal
req_032,code_assistant,11200,high
req_033,multi_document,16000,high
req_034,multi_document,22000,high
req_035,multi_document,30000,high
req_036,multi_document,18000,high
