run_id,run_date,log_source,model_name,quantization_mode,device,torch_version,context_condition,case_id,input_tokens,max_new_tokens,elapsed_ms,memory_after_load_mb,expected_answer,answer,expected_answer_seen
p7-6-1-fp32-owner-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-1,40,16,443.2,2350.2,Mina,Mina owns the baseline.,true
p7-6-1-fp32-owner-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-2,42,16,261.4,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-3,44,16,283.8,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-1,358,16,1373.4,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-2,360,16,1341.7,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-3,362,16,1300.7,2350.2,Mina,Mina,true
p7-6-1-fp32-seed-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-1,43,16,228.2,2350.2,42,42,true
p7-6-1-fp32-seed-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-2,42,16,224.2,2350.2,42,42,true
p7-6-1-fp32-seed-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-3,42,16,218.9,2350.2,42,42,true
p7-6-1-fp32-seed-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-1,361,16,1047.1,2350.2,42,42,true
