event_id,pattern_family,early_flow_mean,mid_flow_mean,late_flow_mean
E01,mid_peak,1.80,2.90,2.50
E02,flat,2.40,2.40,2.40
E03,late_decline,2.70,2.70,1.80
E04,mid_peak,1.90,2.80,2.50
E05,flat,2.35,2.45,2.40
E06,late_decline,2.75,2.65,1.80
E07,mid_peak,1.70,2.90,2.60
E08,flat,2.45,2.35,2.40
E09,late_decline,2.80,2.60,1.80
E10,mid_peak,1.85,2.95,2.40
E11,flat,2.38,2.42,2.40
E12,late_decline,2.65,2.75,1.80
E13,mid_peak,1.80,2.85,2.55
E14,flat,2.42,2.38,2.40
E15,late_decline,2.70,2.60,1.90
E16,mid_peak,1.80,2.90,2.50
E17,flat,2.36,2.44,2.40
E18,late_decline,2.80,2.50,1.90
E19,mid_peak,1.90,2.90,2.40
E20,flat,2.44,2.36,2.40
E21,late_decline,2.60,2.80,1.80
E22,mid_peak,1.70,3.00,2.50
E23,flat,2.39,2.41,2.40
E24,late_decline,2.75,2.55,1.90
E25,mid_peak,1.85,2.85,2.50
E26,flat,2.41,2.39,2.40
E27,late_decline,2.65,2.65,1.90
E28,mid_peak,1.75,2.95,2.50
E29,flat,2.37,2.43,2.40
E30,late_decline,2.85,2.55,1.80
E31,mid_peak,1.95,2.85,2.40
E32,flat,2.43,2.37,2.40
E33,late_decline,2.70,2.80,1.70
E34,mid_peak,1.80,3.00,2.40
E35,flat,2.40,2.40,2.40
E36,late_decline,2.90,2.50,1.80
