case_id,signal,reader_impact,reproducible,scope,expected_bucket,first_check,next_action_hint
ops-01,수정한 Section 링크가 공개 페이지에서 404를 반환함,높음,예,public,즉시 수정,목차 링크와 실제 파일 경로 대조,nav 경로와 대상 파일 경로를 함께 고친다
ops-02,배포 직후에는 최신 Version이 보이지 않지만 잠시 뒤 다시 열면 최신 본문이 보임,중간,아니오,public,재현 확인,Pages deploy 완료 시각과 공개 페이지 상태 비교,캐시 또는 반영 지연 여부를 다시 확인한다
ops-03,메인 페이지는 열리지만 새로 추가한 차트가 모바일 화면에서 오른쪽으로 넘침,중간,예,public,다음 반복 개선,모바일 레이아웃과 차트 폭 확인,차트 배치와 캡션 구조를 다음 반복에서 조정한다
ops-04,영문 목차에서 새 절 제목은 보이지만 대상 링크가 다른 절로 연결됨,높음,예,translation,즉시 수정,영문 목차 링크와 대상 파일 경로 대조,목차 링크를 바로잡고 언어별 링크 점검을 반복한다
ops-05,GitHub Actions는 초록색이지만 검색 결과에는 이전 제목이 남아 있음,낮음,아니오,public,재현 확인,공개 페이지 본문과 검색 인덱스 상태 비교,시간차 반영인지 수동 점검 누락인지 분리한다
ops-06,체크리스트 문구는 읽히지만 우선순위 기준이 모호해 다음 조치가 바로 안 잡힘,중간,예,content,다음 반복 개선,회고 문장과 우선순위 표 확인,운영 회고 예시와 분류 기준을 더 분명히 보강한다
ops-07,운영 신호 01: 빌드 실패,중간,아니오,local,재현 확인,빌드 실패 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-08,운영 신호 02: 공개 확인 실패,낮음,예,workflow,다음 반복 개선,공개 확인 실패 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-09,운영 신호 03: 자산 누락,높음,아니오,public,관찰 유지,자산 누락 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-10,운영 신호 04: 모바일 표시 문제,중간,예,local,즉시 수정,모바일 표시 문제 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-11,운영 신호 05: 릴리즈노트 누락,낮음,아니오,workflow,재현 확인,릴리즈노트 누락 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-12,운영 신호 06: 브랜치 반영 실패,높음,예,public,다음 반복 개선,브랜치 반영 실패 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-13,운영 신호 07: 빌드 실패,중간,아니오,local,관찰 유지,빌드 실패 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-14,운영 신호 08: 공개 확인 실패,낮음,예,workflow,즉시 수정,공개 확인 실패 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-15,운영 신호 09: 자산 누락,높음,아니오,public,재현 확인,자산 누락 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-16,운영 신호 10: 모바일 표시 문제,중간,예,local,다음 반복 개선,모바일 표시 문제 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-17,운영 신호 11: 릴리즈노트 누락,낮음,아니오,workflow,관찰 유지,릴리즈노트 누락 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-18,운영 신호 12: 브랜치 반영 실패,높음,예,public,즉시 수정,브랜치 반영 실패 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-19,운영 신호 13: 빌드 실패,중간,아니오,local,재현 확인,빌드 실패 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-20,운영 신호 14: 공개 확인 실패,낮음,예,workflow,다음 반복 개선,공개 확인 실패 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-21,운영 신호 15: 자산 누락,높음,아니오,public,관찰 유지,자산 누락 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-22,운영 신호 16: 모바일 표시 문제,중간,예,local,즉시 수정,모바일 표시 문제 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-23,운영 신호 17: 릴리즈노트 누락,낮음,아니오,workflow,재현 확인,릴리즈노트 누락 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-24,운영 신호 18: 브랜치 반영 실패,높음,예,public,다음 반복 개선,브랜치 반영 실패 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-25,운영 신호 19: 빌드 실패,중간,아니오,local,관찰 유지,빌드 실패 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-26,운영 신호 20: 공개 확인 실패,낮음,예,workflow,즉시 수정,공개 확인 실패 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-27,운영 신호 21: 자산 누락,높음,아니오,public,재현 확인,자산 누락 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-28,운영 신호 22: 모바일 표시 문제,중간,예,local,다음 반복 개선,모바일 표시 문제 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
ops-29,운영 신호 23: 릴리즈노트 누락,낮음,아니오,workflow,관찰 유지,릴리즈노트 누락 첫 점검,관찰 유지 기준으로 다음 조치를 남긴다
ops-30,운영 신호 24: 브랜치 반영 실패,높음,예,public,즉시 수정,브랜치 반영 실패 첫 점검,즉시 수정 기준으로 다음 조치를 남긴다
ops-31,운영 신호 25: 빌드 실패,중간,아니오,local,재현 확인,빌드 실패 첫 점검,재현 확인 기준으로 다음 조치를 남긴다
ops-32,운영 신호 26: 공개 확인 실패,낮음,예,workflow,다음 반복 개선,공개 확인 실패 첫 점검,다음 반복 개선 기준으로 다음 조치를 남긴다
