event_id,elapsed_seconds,flow,pressure
A,0,0.80,1.00
A,1,0.92,1.15
A,2,1.05,1.32
A,3,1.18,1.51
A,4,1.30,1.68
A,5,1.42,1.82
A,6,1.50,1.91
A,7,1.55,1.97
A,8,1.58,2.01
A,9,1.56,1.98
A,10,1.52,1.94
A,11,1.46,1.88
A,12,1.38,1.78
A,13,1.28,1.66
A,14,1.18,1.55
A,15,1.08,1.43
A,16,0.96,1.28
A,17,0.84,1.12
B,0,0.70,1.05
B,1,0.82,1.18
B,2,0.90,1.28
B,3,0.96,1.38
B,4,1.00,1.43
B,5,1.02,1.47
B,6,1.01,1.44
B,7,0.97,1.39
B,8,0.90,1.30
B,9,0.82,1.20
B,10,0.74,1.10
B,11,0.66,1.02
C,0,0.78,0.98
C,1,0.92,1.14
C,2,1.06,1.32
C,3,1.16,1.46
C,4,1.08,1.38
C,5,0.88,1.18
