query_id,topic,question,variant,target_doc,reader_hint,config_axis,recovery_axis,flow_axis
Q01,request timeout,Where is the request timeout option document for version 2.x?,direct_name,sdk_v2_request_timeout,Baseline query where document name and query terms nearly match,0.89,0.19,0.10
Q02,request timeout,Which SDK 2.x settings document explains how to adjust response wait time?,paraphrase,sdk_v2_request_timeout,Paraphrased query that should find the same meaning without the word timeout,0.90,0.18,0.10
Q03,request timeout,When the connection takes too long I need the 2.x timeout guide rather than the 1.x guide,boundary_wording,sdk_v2_request_timeout,Boundary query where a 1.x document can look closer and version conditions matter,0.91,0.17,0.10
Q04,retry backoff,Where is the retry backoff defaults document for version 2.x?,direct_name,sdk_v2_retry_backoff,Direct document-name query for checking index placement,0.37,0.93,0.09
Q05,retry backoff,I want the document explaining how retry intervals increase in SDK 2.x,paraphrase,sdk_v2_retry_backoff,Meaning-search query that rewrites backoff in everyday wording,0.38,0.92,0.09
Q06,retry backoff,I need the 2.x retry policy rather than an old backoff guide,boundary_wording,sdk_v2_retry_backoff,Old guides can mix in so current-version priority is important,0.39,0.91,0.09
Q07,auth refresh flow,Where is the auth token refresh flow document for version 2.x?,direct_name,sdk_v2_auth_refresh_flow,Direct key terms check basic retrieval success for auth refresh,0.29,0.21,0.95
Q08,auth refresh flow,Which document explains how SDK 2.x obtains a new expired auth value?,paraphrase,sdk_v2_auth_refresh_flow,Everyday wording for token refresh should find the same document,0.30,0.20,0.95
Q09,auth refresh flow,I have a login persistence issue and need the 2.x refresh flow instead of a 1.x auth guide,boundary_wording,sdk_v2_auth_refresh_flow,Boundary query where 1.x auth guidance can be semantically close,0.31,0.19,0.95
Q10,billing invoice,Where is the invoice lookup document for version 2.x?,direct_name,sdk_v2_billing_invoice,Invoice terms should raise the baseline billing document,0.75,0.52,0.16
Q11,billing invoice,Which SDK 2.x document explains how to retrieve billing invoice history?,paraphrase,sdk_v2_billing_invoice,Invoice wording is paraphrased as billing history,0.76,0.51,0.16
Q12,billing invoice,Invoice lookup fails and I want the 2.x billing document rather than the old payment docs,boundary_wording,sdk_v2_billing_invoice,Old payment documents can be close but the 2.x billing document should win,0.77,0.50,0.16
Q13,webhook signature,Where is the webhook signature verification document for version 2.x?,direct_name,sdk_v2_webhook_signature,Direct webhook signature query checks the baseline rank,0.21,0.71,0.62
Q14,webhook signature,I want the SDK 2.x procedure for checking whether a webhook request is genuine,paraphrase,sdk_v2_webhook_signature,Paraphrased signature verification query should catch the security procedure,0.22,0.70,0.62
Q15,webhook signature,A signature verification error occurred and I need the 2.x signature document instead of general webhook notes,boundary_wording,sdk_v2_webhook_signature,General webhook notes may appear so the signature condition matters,0.23,0.69,0.62
Q16,streaming events,Where is the streaming event handling document for version 2.x?,direct_name,sdk_v2_streaming_events,Direct streaming event query checks the baseline rank,0.57,0.35,0.73
Q17,streaming events,I want to know how SDK 2.x handles real-time response events in order,paraphrase,sdk_v2_streaming_events,Real-time response flow should still find the streaming document,0.58,0.34,0.73
Q18,streaming events,When stream logs drop I need the 2.x streaming guide rather than a general event document,boundary_wording,sdk_v2_streaming_events,General event documents should not outrank 2.x streaming guidance,0.59,0.33,0.73
Q19,rate limit,Where is the rate limit retry document for version 2.x?,direct_name,sdk_v2_rate_limit,Rate limit and retry terms should raise the policy document,0.41,0.83,0.36
Q20,rate limit,I want the SDK 2.x rule for sending a request again after hitting a request limit,paraphrase,sdk_v2_rate_limit,Limit situation without 429 or rate limit wording should still find the retry rule,0.42,0.82,0.36
Q21,rate limit,A 429 error occurred and I need the 2.x rate limit retry document rather than an old limits document,boundary_wording,sdk_v2_rate_limit,Old limit policies can mix in and current version must be checked,0.43,0.81,0.36
Q22,file upload,Where is the file upload limits document for version 2.x?,direct_name,sdk_v2_file_upload,Direct file upload and limit query,0.65,0.29,0.69
Q23,file upload,I want to check which file sizes and formats can be uploaded in SDK 2.x,paraphrase,sdk_v2_file_upload,User wording for upload limits should find the same document,0.66,0.28,0.69
Q24,file upload,I need the 2.x limit document for a file transfer failure rather than a general upload document,boundary_wording,sdk_v2_file_upload,2.x limits should outrank general upload explanation,0.67,0.27,0.69
Q25,logging trace,Where is the logging trace setup document for version 2.x?,direct_name,sdk_v2_logging_trace,Direct logging trace document-name query,0.17,0.58,0.79
Q26,logging trace,I want the SDK 2.x setting that records request flow as trace logs,paraphrase,sdk_v2_logging_trace,Trace is rewritten as request-flow logging,0.18,0.57,0.79
Q27,logging trace,I need to turn on trace for incident analysis and need the 2.x setting document rather than general log notes,boundary_wording,sdk_v2_logging_trace,General log documents should not replace 2.x trace settings,0.19,0.56,0.79
Q28,proxy network,Where is the proxy network settings document for version 2.x?,direct_name,sdk_v2_proxy_network,Direct proxy network document-name query,0.83,0.41,0.24
Q29,proxy network,I want the SDK 2.x setting for sending requests through an internal proxy,paraphrase,sdk_v2_proxy_network,Workplace proxy wording should find the same document,0.84,0.40,0.24
Q30,proxy network,I need the 2.x document for network bypass settings rather than an old proxy guide,boundary_wording,sdk_v2_proxy_network,Old proxy guidance can be close but should not win,0.85,0.39,0.24
Q31,cache policy,Where is the cache policy invalidation document for version 2.x?,direct_name,sdk_v2_cache_policy,Direct cache policy and invalidation query,0.51,0.77,0.24
Q32,cache policy,I want the SDK 2.x document that decides when a stored response must be fetched again,paraphrase,sdk_v2_cache_policy,Cache policy expressed as response reuse should find the same document,0.52,0.76,0.24
Q33,cache policy,I need the 2.x cache policy for stale cache problems rather than a general performance document,boundary_wording,sdk_v2_cache_policy,Performance documents can mix in but 2.x cache policy should be prioritized,0.53,0.75,0.24
Q34,region endpoint,Where is the region endpoint selection document for version 2.x?,direct_name,sdk_v2_region_endpoint,Direct region endpoint query,0.71,0.25,0.58
Q35,region endpoint,I want to check which regional endpoint SDK 2.x should send requests to,paraphrase,sdk_v2_region_endpoint,Natural-language region endpoint selection query,0.72,0.24,0.58
Q36,region endpoint,I need the 2.x region document for a region selection error rather than general endpoint notes,boundary_wording,sdk_v2_region_endpoint,General endpoint notes can be close but 2.x region conditions matter,0.73,0.23,0.58
Q37,pagination cursor,Where is the pagination cursor usage document for version 2.x?,direct_name,sdk_v2_pagination_cursor,Direct cursor usage query,0.61,0.49,0.41
Q38,pagination cursor,Which cursor document should I read to keep fetching next pages in SDK 2.x?,paraphrase,sdk_v2_pagination_cursor,Next cursor wording should still find the usage document,0.62,0.48,0.41
Q39,pagination cursor,I want the 2.x cursor loop standard rather than an old pagination guide,boundary_wording,sdk_v2_pagination_cursor,1.x cursor docs can rank high so version conditions matter,0.66,0.45,0.40
Q40,pagination cursor,The cursor is empty and repeated retrieval stops but I need the 2.x basic usage order rather than error diagnosis,symptom_wording,sdk_v2_pagination_cursor,Troubleshooting is related but the baseline usage document should remain visible,0.63,0.45,0.44
Q41,idempotency key,Where is the idempotency key setup document for version 2.x?,direct_name,sdk_v2_idempotency_key,Direct idempotency key query,0.46,0.65,0.54
Q42,idempotency key,Which SDK 2.x document prevents duplicate processing when sending the same request again?,paraphrase,sdk_v2_idempotency_key,Duplicate-request wording without key terms should find the same document,0.47,0.64,0.54
Q43,idempotency key,I want the 2.x idempotency key header standard rather than a 1.x retry guide,boundary_wording,sdk_v2_idempotency_key,Old header rules can mix in so current rules matter,0.51,0.61,0.53
Q44,idempotency key,I was reading retry safety notes and now need the actual key setting location,mixed_intent,sdk_v2_idempotency_key,Mixed intent query that separates safety background from the actual setting document,0.49,0.67,0.51
Q45,webhook replay,Where is the webhook replay handling document for version 2.x?,direct_name,sdk_v2_webhook_replay,Direct webhook replay query,0.27,0.78,0.55
Q46,webhook replay,How should SDK 2.x handle duplicate processing when the same webhook event arrives again?,paraphrase,sdk_v2_webhook_replay,Duplicate event wording should find replay handling without the replay term,0.28,0.77,0.55
Q47,webhook replay,I need the 2.x event reprocessing standard rather than a 1.x replay guide,boundary_wording,sdk_v2_webhook_replay,Old webhook replay docs can be close but current standards should win,0.32,0.74,0.54
Q48,webhook replay,I was checking webhook delivery logs and need the replay judgment document,mixed_intent,sdk_v2_webhook_replay,Mixed intent query that separates delivery logs from replay rules,0.30,0.73,0.58
Q49,quota burst,Where is the quota burst limits document for version 2.x?,direct_name,sdk_v2_quota_burst,Direct quota burst query,0.69,0.67,0.21
Q50,quota burst,Which SDK 2.x limit should I check when many requests arrive in a short time?,paraphrase,sdk_v2_quota_burst,Traffic burst wording without burst term should find the same document,0.70,0.66,0.21
Q51,quota burst,I want the 2.x burst limit values and waiting conditions rather than a 1.x quota guide,boundary_wording,sdk_v2_quota_burst,Old quota docs can be semantically close but current limits should win,0.74,0.63,0.20
Q52,quota burst,I was diagnosing a quota exceeded error and need to check the burst standard first,symptom_wording,sdk_v2_quota_burst,Troubleshooting is related but the limit standard document should be found,0.72,0.62,0.25
