event_id,review_month,reviewer,diff,repeatability,review_label
A,2026-04,kim,-0.34,high,review_needed
A,2026-04,lee,-0.34,high,normal
A,2026-05,park,-0.34,high,review_needed
B,2026-04,kim,-0.08,low,normal
B,2026-04,lee,-0.08,low,normal
B,2026-05,park,-0.08,low,normal
C,2026-04,kim,-0.29,medium,review_needed
C,2026-04,lee,-0.29,medium,review_needed
C,2026-05,park,-0.29,medium,review_needed
D,2026-04,kim,-0.18,medium,normal
D,2026-04,lee,-0.18,medium,normal
D,2026-05,park,-0.18,medium,review_needed
E,2026-04,kim,-0.41,high,review_needed
E,2026-04,lee,-0.41,high,review_needed
E,2026-05,park,-0.41,high,review_needed
F,2026-04,kim,-0.12,low,normal
F,2026-04,lee,-0.12,low,review_needed
F,2026-05,park,-0.12,low,normal
G,2026-04,kim,-0.26,medium,review_needed
G,2026-04,lee,-0.26,medium,normal
G,2026-05,park,-0.26,medium,normal
H,2026-04,kim,-0.05,low,normal
H,2026-04,lee,-0.05,low,normal
H,2026-05,park,-0.05,low,normal
I,2026-04,kim,-0.37,high,review_needed
I,2026-04,lee,-0.37,high,review_needed
I,2026-05,park,-0.37,high,normal
J,2026-04,kim,-0.22,medium,review_needed
J,2026-04,lee,-0.22,medium,review_needed
J,2026-05,park,-0.22,medium,review_needed
K,2026-04,kim,-0.15,medium,normal
K,2026-04,lee,-0.15,medium,normal
K,2026-05,park,-0.15,medium,normal
L,2026-04,kim,-0.31,high,review_needed
L,2026-04,lee,-0.31,high,normal
L,2026-05,park,-0.31,high,review_needed
