case_id,question,expected_state,failure_stage,focus
연습-01,RAG 프로젝트에서 왜 검색 후보와 선택 근거를 답변보다 먼저 기록해야 하는가?,근거 기반 답변,통과,질문이 문서에 직접 들어 있는 경우
연습-02,MCP는 왜 필요한가?,문서 범위 밖,검색 단계,현재 문서 집합에 없는 주제를 멈추는 경우
연습-03,문서 분할 재정렬만 있으면 모든 환각이 해결되는가?,답변 과장 위험,답변 단계,검색은 됐지만 단정이 근거 밖인 경우
연습-04,문서 분할과 재정렬은 검색 품질에 어떤 도움을 줄 수 있는가?,근거 기반 답변,통과,같은 주제를 더 보수적으로 물어 상태를 바꾸는 경우
연습-05,최신 규칙이 필요한 서비스에서 검색 단계가 먼저 필요한 이유를 문서 범위 안에서 설명할 수 있는가?,근거 기반 답변,통과,질문 표현을 문서 문장과 더 가깝게 맞추는 경우
연습-06,RAG가 있으면 최신 규칙 문서가 없어도 항상 정확한가?,답변 과장 위험,답변 단계,강한 일반화 표현이 근거를 넘어가는 경우
연습-07,회수 문헌과 채택 이유를 선행 보존해야 후속 디버깅이 쉬운 까닭은 무엇인가?,검색 실패,검색 단계,문서 집합에는 관련 내용이 있지만 현재 검색 규칙이 표현 차이를 놓치는 경우
연습-08,RAG 답변에서 문서 ID만 있으면 충분한가?,답변 과장 위험,답변 단계,출처 문장 부재
연습-09,검색 점수가 낮은 후보는 항상 버려도 되는가?,근거 재검토,선택 단계,표현 차이 near miss
연습-10,최신 정책 문서와 예전 FAQ가 충돌하면 어떻게 기록해야 하는가?,근거 충돌,선택 단계,문서 날짜 충돌
연습-11,문서에 없는 가격 정책을 사용자가 물으면 어떻게 해야 하는가?,문서 범위 밖,검색 단계,근거 부족 거절
연습-12,검색 후보가 너무 많으면 답변 품질은 항상 좋아지는가?,답변 과장 위험,답변 단계,후보 과다
연습-13,동의어 질문이 직접 근거 문서를 못 찾으면 무엇을 점검해야 하는가?,검색 실패,검색 단계,질문 표현 변형
연습-14,근거는 맞지만 결론이 더 넓어지면 어느 단계 실패인가?,답변 과장 위험,답변 단계,근거 밖 일반화
연습-15,문서 권한이 다른 근거가 섞이면 답변에 모두 써도 되는가?,권한 범위 확인,선택 단계,권한 필터
연습-16,RAG 답변에서 문서 ID만 있으면 충분한가?,답변 과장 위험,답변 단계,출처 문장 부재
연습-17,검색 점수가 낮은 후보는 항상 버려도 되는가?,근거 재검토,선택 단계,표현 차이 near miss
연습-18,최신 정책 문서와 예전 FAQ가 충돌하면 어떻게 기록해야 하는가?,근거 충돌,선택 단계,문서 날짜 충돌
연습-19,문서에 없는 가격 정책을 사용자가 물으면 어떻게 해야 하는가?,문서 범위 밖,검색 단계,근거 부족 거절
연습-20,검색 후보가 너무 많으면 답변 품질은 항상 좋아지는가?,답변 과장 위험,답변 단계,후보 과다
연습-21,동의어 질문이 직접 근거 문서를 못 찾으면 무엇을 점검해야 하는가?,검색 실패,검색 단계,질문 표현 변형
연습-22,근거는 맞지만 결론이 더 넓어지면 어느 단계 실패인가?,답변 과장 위험,답변 단계,근거 밖 일반화
연습-23,문서 권한이 다른 근거가 섞이면 답변에 모두 써도 되는가?,권한 범위 확인,선택 단계,권한 필터
연습-24,RAG 답변에서 문서 ID만 있으면 충분한가?,답변 과장 위험,답변 단계,출처 문장 부재
연습-25,검색 점수가 낮은 후보는 항상 버려도 되는가?,근거 재검토,선택 단계,표현 차이 near miss
연습-26,최신 정책 문서와 예전 FAQ가 충돌하면 어떻게 기록해야 하는가?,근거 충돌,선택 단계,문서 날짜 충돌
연습-27,문서에 없는 가격 정책을 사용자가 물으면 어떻게 해야 하는가?,문서 범위 밖,검색 단계,근거 부족 거절
연습-28,검색 후보가 너무 많으면 답변 품질은 항상 좋아지는가?,답변 과장 위험,답변 단계,후보 과다
연습-29,동의어 질문이 직접 근거 문서를 못 찾으면 무엇을 점검해야 하는가?,검색 실패,검색 단계,질문 표현 변형
연습-30,근거는 맞지만 결론이 더 넓어지면 어느 단계 실패인가?,답변 과장 위험,답변 단계,근거 밖 일반화
연습-31,문서 권한이 다른 근거가 섞이면 답변에 모두 써도 되는가?,권한 범위 확인,선택 단계,권한 필터
연습-32,RAG 답변에서 문서 ID만 있으면 충분한가?,답변 과장 위험,답변 단계,출처 문장 부재
연습-33,검색 점수가 낮은 후보는 항상 버려도 되는가?,근거 재검토,선택 단계,표현 차이 near miss
연습-34,최신 정책 문서와 예전 FAQ가 충돌하면 어떻게 기록해야 하는가?,근거 충돌,선택 단계,문서 날짜 충돌
연습-35,문서에 없는 가격 정책을 사용자가 물으면 어떻게 해야 하는가?,문서 범위 밖,검색 단계,근거 부족 거절
연습-36,검색 후보가 너무 많으면 답변 품질은 항상 좋아지는가?,답변 과장 위험,답변 단계,후보 과다
