sample_id,days_after_sample,event_type,source_system
S01,1,review,human_queue
S01,3,warning,monitor
S01,5,failure,maintenance
S02,2,review,human_queue
S02,4,warning,monitor
S03,1,revisit,service
S04,1,warning,monitor
S05,1,revisit,service
S05,2,review,human_queue
S06,3,minor_adjustment,operator
S07,1,warning,monitor
S07,6,failure,maintenance
S08,2,review,human_queue
S09,4,revisit,service
S10,1,warning,monitor
S11,2,inspection,quality
S12,1,review,human_queue
S12,3,warning,monitor
S13,2,failure,maintenance
S14,1,revisit,service
S15,5,minor_adjustment,operator
S16,2,warning,monitor
S17,1,review,human_queue
S18,3,inspection,quality
S19,1,warning,monitor
S19,4,failure,maintenance
S20,2,revisit,service
S21,1,review,human_queue
S22,3,warning,monitor
S23,1,minor_adjustment,operator
S24,2,inspection,quality
S25,1,failure,maintenance
S26,2,review,human_queue
S27,1,revisit,service
S28,3,warning,monitor
S29,2,inspection,quality
