sequence_id,kind,step,token,sensor_value
memo_shutdown_confirmed,memo,1,차단,
memo_shutdown_confirmed,memo,2,점검,
memo_shutdown_confirmed,memo,3,대기,
memo_shutdown_confirmed,memo,4,확인,
memo_leak_confirmed,memo,1,누유,
memo_leak_confirmed,memo,2,점검,
memo_leak_confirmed,memo,3,보고,
memo_leak_confirmed,memo,4,확인,
memo_restart_confirmed,memo,1,점검,
memo_restart_confirmed,memo,2,재가동,
memo_restart_confirmed,memo,3,승인,
memo_restart_confirmed,memo,4,확인,
memo_blocked_then_approved,memo,1,차단,
memo_blocked_then_approved,memo,2,재가동,
memo_blocked_then_approved,memo,3,승인,
memo_blocked_then_approved,memo,4,확인,
memo_leak_then_recovered,memo,1,누유,
memo_leak_then_recovered,memo,2,점검,
memo_leak_then_recovered,memo,3,재가동,
memo_leak_then_recovered,memo,4,확인,
sensor_gradual_rise,sensor,1,,60
sensor_gradual_rise,sensor,2,,65
sensor_gradual_rise,sensor,3,,68
sensor_gradual_rise,sensor,4,,72
sensor_gradual_rise,sensor,5,,76
sensor_gradual_rise,sensor,6,,80
sensor_temporary_spike,sensor,1,,80
sensor_temporary_spike,sensor,2,,60
sensor_temporary_spike,sensor,3,,59
sensor_temporary_spike,sensor,4,,61
sensor_temporary_spike,sensor,5,,63
sensor_temporary_spike,sensor,6,,80
sensor_late_rise,sensor,1,,58
sensor_late_rise,sensor,2,,59
sensor_late_rise,sensor,3,,61
sensor_late_rise,sensor,4,,66
sensor_late_rise,sensor,5,,73
sensor_late_rise,sensor,6,,80
sensor_stable_high,sensor,1,,72
sensor_stable_high,sensor,2,,74
sensor_stable_high,sensor,3,,76
sensor_stable_high,sensor,4,,78
sensor_stable_high,sensor,5,,79
sensor_stable_high,sensor,6,,80
sensor_recovered_then_rise,sensor,1,,90
sensor_recovered_then_rise,sensor,2,,58
sensor_recovered_then_rise,sensor,3,,58
sensor_recovered_then_rise,sensor,4,,59
sensor_recovered_then_rise,sensor,5,,65
sensor_recovered_then_rise,sensor,6,,80
