step,tool,reason,result_status,result_summary,observation,review_state,next_action
1,티켓 읽기,현재 장애 요청과 우선순위를 먼저 알아야 한다,성공,P1 티켓을 확인했다,"결제 API 5xx 오류율 급증, 고객 영향 있음",계속 진행,메트릭 조회
2,메트릭 조회,실제 오류율과 지연이 얼마나 악화됐는지 확인해야 한다,성공,최근 15분 메트릭을 읽었다,"오류율 12.8%, p95 지연 2.4초, 정상 기준보다 크게 높다",긴급 검토,배포 이력 조회
3,배포 이력 조회,최근 변경이 장애 시점과 겹치는지 봐야 한다,성공,최근 배포를 확인했다,18분 전 결제 서비스 v2.3.1 배포가 있었다,최근 배포 영향 의심,승인 요청 작성
4,승인 요청 작성,프로덕션 변경 전에는 누가 승인해야 하는지 명확히 남겨야 한다,성공,온콜 리드 승인 요청 초안을 만들었다,롤백은 기능적으로 가능하지만 아직 자동 실행 허용 범위 밖이다,승인 대기,사용자 상태 보고 작성
5,사용자 상태 보고 작성,지금 무엇이 끝났고 무엇이 blocked 상태인지 함께 알려야 한다,성공,현재 상태 보고를 작성했다,장애 원인 후보와 blocked 상태를 함께 보고하고 승인 대기라고 명시했다,blocked 상태 공유,승인 응답 대기
6,승인 응답 대기 확인,다음 행동을 진행할 수 있는 외부 조건이 충족됐는지 확인해야 한다,보류,승인이 아직 도착하지 않았다,롤백 실행은 준비됐지만 승인 없이는 진행할 수 없어 현재 run 은 blocked 상태로 남는다,blocked,사람 승인 도착 전까지 종료
7,메트릭 재확인,장애 판단 근거 01 확인,성공,메트릭 재확인 결과를 기록했다,관측 신호 01: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,긴급 검토,최근 설정 비교
8,최근 설정 비교,장애 판단 근거 02 확인,성공,최근 설정 비교 결과를 기록했다,관측 신호 02: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,최근 배포 영향 의심,고객 영향 범위 계산
9,고객 영향 범위 계산,장애 판단 근거 03 확인,보류,고객 영향 범위 계산 결과를 기록했다,관측 신호 03: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,승인 필요,대응 초안 작성
10,대응 초안 작성,장애 판단 근거 04 확인,보류,대응 초안 작성 결과를 기록했다,관측 신호 04: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,blocked,승인 요청
11,승인 요청,장애 판단 근거 05 확인,실패,승인 요청 결과를 기록했다,관측 신호 05: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,실패 검토,변경 실행 대기
12,변경 실행 대기,장애 판단 근거 06 확인,성공,변경 실행 대기 결과를 기록했다,관측 신호 06: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,계속 진행,후속 검증
13,후속 검증,장애 판단 근거 07 확인,성공,후속 검증 결과를 기록했다,관측 신호 07: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,긴급 검토,로그 조회
14,로그 조회,장애 판단 근거 08 확인,성공,로그 조회 결과를 기록했다,관측 신호 08: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,최근 배포 영향 의심,메트릭 재확인
15,메트릭 재확인,장애 판단 근거 09 확인,보류,메트릭 재확인 결과를 기록했다,관측 신호 09: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,승인 필요,최근 설정 비교
16,최근 설정 비교,장애 판단 근거 10 확인,보류,최근 설정 비교 결과를 기록했다,관측 신호 10: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,blocked,고객 영향 범위 계산
17,고객 영향 범위 계산,장애 판단 근거 11 확인,실패,고객 영향 범위 계산 결과를 기록했다,관측 신호 11: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,실패 검토,대응 초안 작성
18,대응 초안 작성,장애 판단 근거 12 확인,성공,대응 초안 작성 결과를 기록했다,관측 신호 12: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,계속 진행,승인 요청
19,승인 요청,장애 판단 근거 13 확인,성공,승인 요청 결과를 기록했다,관측 신호 13: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,긴급 검토,변경 실행 대기
20,변경 실행 대기,장애 판단 근거 14 확인,성공,변경 실행 대기 결과를 기록했다,관측 신호 14: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,최근 배포 영향 의심,후속 검증
21,후속 검증,장애 판단 근거 15 확인,보류,후속 검증 결과를 기록했다,관측 신호 15: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,승인 필요,로그 조회
22,로그 조회,장애 판단 근거 16 확인,보류,로그 조회 결과를 기록했다,관측 신호 16: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,blocked,메트릭 재확인
23,메트릭 재확인,장애 판단 근거 17 확인,실패,메트릭 재확인 결과를 기록했다,관측 신호 17: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,실패 검토,최근 설정 비교
24,최근 설정 비교,장애 판단 근거 18 확인,성공,최근 설정 비교 결과를 기록했다,관측 신호 18: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,계속 진행,고객 영향 범위 계산
25,고객 영향 범위 계산,장애 판단 근거 19 확인,성공,고객 영향 범위 계산 결과를 기록했다,관측 신호 19: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,긴급 검토,대응 초안 작성
26,대응 초안 작성,장애 판단 근거 20 확인,성공,대응 초안 작성 결과를 기록했다,관측 신호 20: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,최근 배포 영향 의심,승인 요청
27,승인 요청,장애 판단 근거 21 확인,보류,승인 요청 결과를 기록했다,관측 신호 21: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,승인 필요,변경 실행 대기
28,변경 실행 대기,장애 판단 근거 22 확인,보류,변경 실행 대기 결과를 기록했다,관측 신호 22: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,blocked,후속 검증
29,후속 검증,장애 판단 근거 23 확인,실패,후속 검증 결과를 기록했다,관측 신호 23: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,실패 검토,로그 조회
30,로그 조회,장애 판단 근거 24 확인,성공,로그 조회 결과를 기록했다,관측 신호 24: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,계속 진행,메트릭 재확인
31,메트릭 재확인,장애 판단 근거 25 확인,성공,메트릭 재확인 결과를 기록했다,관측 신호 25: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,긴급 검토,최근 설정 비교
32,최근 설정 비교,장애 판단 근거 26 확인,성공,최근 설정 비교 결과를 기록했다,관측 신호 26: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,최근 배포 영향 의심,고객 영향 범위 계산
33,고객 영향 범위 계산,장애 판단 근거 27 확인,보류,고객 영향 범위 계산 결과를 기록했다,관측 신호 27: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,승인 필요,대응 초안 작성
34,대응 초안 작성,장애 판단 근거 28 확인,보류,대응 초안 작성 결과를 기록했다,관측 신호 28: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,blocked,승인 요청
35,승인 요청,장애 판단 근거 29 확인,실패,승인 요청 결과를 기록했다,관측 신호 29: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,실패 검토,변경 실행 대기
36,변경 실행 대기,장애 판단 근거 30 확인,성공,변경 실행 대기 결과를 기록했다,관측 신호 30: 오류율/지연/영향 범위 중 하나가 기준을 넘었다,계속 진행,후속 검증
