incident_id,date,problem,category,signal,possible_cause,check_locations,reader_impact,priority,immediate_checks,next_action
deploy-01,2026-07-18,수정한 Section의 최신 Version이 공개 페이지에 보이지 않음,브랜치 반영 실패,로컬 파일에는 v2026.07.18이 보이지만 공개 페이지에는 이전 Version이 보인다,main 미반영 또는 Pages workflow 진행 중,git branch|main 반영 상태|GitHub Actions workflow,독자가 최신 수정 내용을 볼 수 없음,1,git branch --show-current|.github/workflows/deploy.yml 확인,현재 브랜치와 main 반영 여부를 먼저 확인하고 그다음 Pages workflow 진행 상태를 본다
deploy-02,2026-07-18,로컬에서 mkdocs strict build가 실패함,빌드 실패,nav 또는 링크 오류 때문에 빌드가 중간에 멈춘다,mkdocs.yml nav 경로 또는 문서 링크 불일치,mkdocs.yml|오류 난 Section|상대 링크,배포 자체가 진행되지 못함,1,.venv/bin/python -m mkdocs build,로컬 빌드를 재현하고 오류 메시지가 가리키는 nav 경로와 링크 대상을 같이 수정한다
deploy-03,2026-07-18,공개 페이지에서 수정한 Section 링크가 404를 반환함,공개 확인 실패,메인 페이지는 열리지만 수정한 Section 진입에서 404가 난다,목차 경로와 실제 파일 경로가 일치하지 않음,공개 URL|목차 링크|대상 파일 경로,독서 흐름이 끊김,1,공개 URL 직접 확인|mkdocs.yml 링크 경로 점검,공개 URL에서 문제 링크를 직접 따라가고 nav 경로와 실제 파일 경로를 함께 대조한다
deploy-04,2026-07-18,공개 페이지는 열리지만 최신 본문이 일부만 반영된 것처럼 보임,Pages 반영 실패,홈은 최신인데 특정 Section만 이전 본문처럼 보인다,배포 artifact 반영 지연 또는 캐시된 페이지 확인,Pages deploy 상태|공개 Section 메타데이터|재방문 시점,배포 상태 판단이 흔들리고 잘못된 회고가 남을 수 있음,2,공개 URL 재확인|잠시 뒤 다시 확인,배포 완료 시각과 공개 페이지 상태를 함께 적고 지연 뒤 한 번 더 재확인한다
deploy-05,2026-07-19,빌드 실패 반복 사례 01,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-06,2026-07-18,공개 확인 실패 반복 사례 02,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
deploy-07,2026-07-19,자산 누락 반복 사례 03,자산 누락,공개 페이지 또는 빌드 로그에서 자산 누락 신호가 보인다,자산 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,자산 누락 원인을 확인하고 수정 범위를 기록한다
deploy-08,2026-07-18,모바일 표시 문제 반복 사례 04,모바일 표시 문제,공개 페이지 또는 빌드 로그에서 모바일 표시 문제 신호가 보인다,모바일 표시 문제 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,모바일 표시 문제 원인을 확인하고 수정 범위를 기록한다
deploy-09,2026-07-19,릴리즈노트 누락 반복 사례 05,릴리즈노트 누락,공개 페이지 또는 빌드 로그에서 릴리즈노트 누락 신호가 보인다,릴리즈노트 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,릴리즈노트 누락 원인을 확인하고 수정 범위를 기록한다
deploy-10,2026-07-18,브랜치 반영 실패 반복 사례 06,브랜치 반영 실패,공개 페이지 또는 빌드 로그에서 브랜치 반영 실패 신호가 보인다,브랜치 반영 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,브랜치 반영 실패 원인을 확인하고 수정 범위를 기록한다
deploy-11,2026-07-19,빌드 실패 반복 사례 07,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-12,2026-07-18,공개 확인 실패 반복 사례 08,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
deploy-13,2026-07-19,자산 누락 반복 사례 09,자산 누락,공개 페이지 또는 빌드 로그에서 자산 누락 신호가 보인다,자산 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,자산 누락 원인을 확인하고 수정 범위를 기록한다
deploy-14,2026-07-18,모바일 표시 문제 반복 사례 10,모바일 표시 문제,공개 페이지 또는 빌드 로그에서 모바일 표시 문제 신호가 보인다,모바일 표시 문제 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,모바일 표시 문제 원인을 확인하고 수정 범위를 기록한다
deploy-15,2026-07-19,릴리즈노트 누락 반복 사례 11,릴리즈노트 누락,공개 페이지 또는 빌드 로그에서 릴리즈노트 누락 신호가 보인다,릴리즈노트 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,릴리즈노트 누락 원인을 확인하고 수정 범위를 기록한다
deploy-16,2026-07-18,브랜치 반영 실패 반복 사례 12,브랜치 반영 실패,공개 페이지 또는 빌드 로그에서 브랜치 반영 실패 신호가 보인다,브랜치 반영 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,브랜치 반영 실패 원인을 확인하고 수정 범위를 기록한다
deploy-17,2026-07-19,빌드 실패 반복 사례 13,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-18,2026-07-18,공개 확인 실패 반복 사례 14,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
deploy-19,2026-07-19,자산 누락 반복 사례 15,자산 누락,공개 페이지 또는 빌드 로그에서 자산 누락 신호가 보인다,자산 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,자산 누락 원인을 확인하고 수정 범위를 기록한다
deploy-20,2026-07-18,모바일 표시 문제 반복 사례 16,모바일 표시 문제,공개 페이지 또는 빌드 로그에서 모바일 표시 문제 신호가 보인다,모바일 표시 문제 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,모바일 표시 문제 원인을 확인하고 수정 범위를 기록한다
deploy-21,2026-07-19,릴리즈노트 누락 반복 사례 17,릴리즈노트 누락,공개 페이지 또는 빌드 로그에서 릴리즈노트 누락 신호가 보인다,릴리즈노트 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,릴리즈노트 누락 원인을 확인하고 수정 범위를 기록한다
deploy-22,2026-07-18,브랜치 반영 실패 반복 사례 18,브랜치 반영 실패,공개 페이지 또는 빌드 로그에서 브랜치 반영 실패 신호가 보인다,브랜치 반영 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,브랜치 반영 실패 원인을 확인하고 수정 범위를 기록한다
