case_name,weight_scale,layer,sample,raw_activation
small_init,0.8,1,A,0.800
small_init,0.8,1,B,1.600
small_init,0.8,1,C,0.400
small_init,0.8,2,A,0.640
small_init,0.8,2,B,1.280
small_init,0.8,2,C,0.320
small_init,0.8,3,A,0.512
small_init,0.8,3,B,1.024
small_init,0.8,3,C,0.256
medium_init,1.2,1,A,1.200
medium_init,1.2,1,B,2.400
medium_init,1.2,1,C,0.600
medium_init,1.2,2,A,1.440
medium_init,1.2,2,B,2.880
medium_init,1.2,2,C,0.720
medium_init,1.2,3,A,1.728
medium_init,1.2,3,B,3.456
medium_init,1.2,3,C,0.864
large_init,3.0,1,A,3.000
large_init,3.0,1,B,6.000
large_init,3.0,1,C,1.500
large_init,3.0,2,A,9.000
large_init,3.0,2,B,18.000
large_init,3.0,2,C,4.500
large_init,3.0,3,A,27.000
large_init,3.0,3,B,54.000
large_init,3.0,3,C,13.500
very_large_init,9.0,1,A,9.000
very_large_init,9.0,1,B,18.000
very_large_init,9.0,1,C,4.500
very_large_init,9.0,2,A,81.000
very_large_init,9.0,2,B,162.000
very_large_init,9.0,2,C,40.500
very_large_init,9.0,3,A,729.000
very_large_init,9.0,3,B,1458.000
very_large_init,9.0,3,C,364.500
