case_id,response_variant,response_text
S01,base,推荐系统变更会通过反映用户反馈来提高推荐质量。
S01,tuned,推荐质量改善是核心。 / 用户反馈反映是主要变更点。 / 上线后需要再次确认指标。
S09,base,会议前值得看的背景包括推荐实验目的、当前成果、限制和下一步讨论项。相关指标和日志接入计划也可以一起确认。
S09,tuned,先确认推荐实验目的和当前指标。 / 分开查看成果和限制。 / 整理下一步讨论项和日志接入计划。 / 需要追加检查的指标在会议中确认。
T01,base,新员工应先理解整体流程，确认所需资料，然后向负责人提问。
T01,tuned,1. 先收集必要资料。 / 2. 按引导顺序执行。 / 3. 检查结果和例外。
T08,base,1. 确认现有推荐规则。 / 2. 应用新规则。 / 3. 查看结果。 / 但日志、例外条件和负责人审查也需要追加确认。
T08,tuned,1. 确认现有规则和适用范围。 / 2. 在限定区间应用新规则。 / 3. 检查日志和结果指标。 / 负责人审查项另行保留。
U01,base,核心事实是用户反应发生变化、推荐规则需要调整，并且需要后续指标确认。
U01,tuned,| 项目 | 内容 | / | --- | --- | / | 变化 | 用户反应发生变化 | / | 行动 | 调整推荐规则 | / | 确认 | 查看后续指标 |
U08,base,| 项目 | 内容 | / | --- | --- | / | 日志 | 需要接入 | / | 日程 | 下次部署前 |
U08,tuned,| 项目 | 内容 | / | --- | --- | / | 日志 | 需要接入 | / | 日程 | 下次部署前 |
L01,base,仅凭当前资料也可以认为长期效果是积极的。
L01,tuned,仅凭当前资料还难以确定长期效果。 / - 还需要按用户群体划分的指标。 / - 需要追加确认上线后的留存率。
L08,base,当前资料有一些限制。再看按用户群体划分的变化也会有帮助。
L08,tuned,仅凭当前资料还不能确定所有结论。 / - 按用户群体划分的变化
