event_id,elapsed_seconds,pressure,flow,is_recent
E01,0,1.0,0.0,1
E01,1,2.0,1.4,1
E01,2,2.4,1.6,1
E02,0,1.1,0.0,0
E02,1,1.7,1.1,0
E02,2,2.0,1.2,0
E03,0,1.2,0.1,1
E03,1,2.3,1.5,1
E03,2,2.7,1.8,1
E04,0,0.9,0.0,0
E04,1,1.3,0.9,0
E04,2,1.5,1.0,0
E05,0,1.0,0.0,1
E05,1,1.8,1.0,1
E05,2,2.2,1.3,1
E06,0,1.2,0.1,0
E06,1,1.9,1.2,0
E06,2,2.1,1.1,0
E07,0,1.1,0.0,1
E07,1,2.1,1.3,1
E07,2,2.5,1.5,1
E08,0,1.0,0.0,0
E08,1,1.6,1.0,0
E08,2,1.8,1.1,0
E09,0,1.3,0.1,1
E09,1,2.4,1.6,1
E09,2,2.9,1.9,1
E10,0,1.1,0.0,0
E10,1,1.8,1.1,0
E10,2,2.0,1.0,0
E11,0,1.2,0.1,1
E11,1,2.2,1.4,1
E11,2,2.6,1.7,1
E12,0,0.8,0.0,0
E12,1,1.4,0.8,0
E12,2,1.6,0.9,0
