action,reason
학습 데이터에 약한 스크래치 강도 사례 추가,현재 학습 데이터가 비교적 명확한 결함 중심이기 때문
조명 그림자와 결함이 겹친 변형 추가,정상 그림자와 결함을 더 분리해 봐야 하기 때문
공간 구조를 더 읽는 후속 모델 검토,평평하게 펼친 입력보다 공간 구조가 더 중요할 수 있기 때문
약한 결함 조도 구간 추가 #01,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #02,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #03,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #04,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #05,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #06,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #07,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #08,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #09,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #10,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #11,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #12,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #13,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #14,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #15,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #16,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #17,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #18,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #19,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #20,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #21,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #22,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #23,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #24,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #25,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #26,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #27,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #28,오답이 특정 정상 패턴에 몰리기 때문
후속 촬영 각도 메타데이터 기록 #29,입력 밝기보다 촬영 조건 차이가 더 클 수 있기 때문
경계 샘플 전용 평가 묶음 유지 #30,전체 정확도에 가려지는 실패를 따로 보기 위해서
약한 결함 조도 구간 추가 #31,낮은 대비 결함에서 확률 차이가 작아지기 때문
정상 얼룩과 스크래치 라벨 기준 분리 #32,표면 얼룩이 결함으로 잘못 묶이는 사례가 있기 때문
검토 대상 샘플을 hard negative로 재학습 #33,오답이 특정 정상 패턴에 몰리기 때문
