event_id,second,flow,review_needed
A,0,10.0,1
A,1,10.2,1
A,2,9.9,1
A,3,10.0,1
A,4,10.2,1
A,5,9.9,1
A,6,10.0,1
A,7,10.2,1
A,8,9.9,1
A,9,10.0,1
A,10,10.2,1
A,11,9.9,1
A,12,10.0,1
A,13,10.2,1
A,14,9.9,1
A,15,10.0,1
A,16,10.2,1
A,17,9.9,1
B,0,30.0,0
B,1,30.2,0
B,2,29.9,0
B,3,30.0,0
B,4,30.2,0
B,5,29.9,0
B,6,30.0,0
B,7,30.2,0
B,8,29.9,0
B,9,30.0,0
B,10,30.2,0
B,11,29.9,0
B,12,30.0,0
B,13,30.2,0
B,14,29.9,0
B,15,30.0,0
B,16,30.2,0
B,17,29.9,0
C,0,50.0,1
C,1,50.2,1
C,2,49.9,1
C,3,50.0,1
C,4,50.2,1
C,5,49.9,1
C,6,50.0,1
C,7,50.2,1
C,8,49.9,1
C,9,50.0,1
C,10,50.2,1
C,11,49.9,1
C,12,50.0,1
C,13,50.2,1
C,14,49.9,1
C,15,50.0,1
C,16,50.2,1
C,17,49.9,1
D,0,70.0,0
D,1,70.2,0
D,2,69.9,0
D,3,70.0,0
D,4,70.2,0
D,5,69.9,0
D,6,70.0,0
D,7,70.2,0
D,8,69.9,0
D,9,70.0,0
D,10,70.2,0
D,11,69.9,0
D,12,70.0,0
D,13,70.2,0
D,14,69.9,0
D,15,70.0,0
D,16,70.2,0
D,17,69.9,0
E,0,90.0,1
E,1,90.2,1
E,2,89.9,1
E,3,90.0,1
E,4,90.2,1
E,5,89.9,1
E,6,90.0,1
E,7,90.2,1
E,8,89.9,1
E,9,90.0,1
E,10,90.2,1
E,11,89.9,1
E,12,90.0,1
E,13,90.2,1
E,14,89.9,1
E,15,90.0,1
E,16,90.2,1
E,17,89.9,1
F,0,110.0,0
F,1,110.2,0
F,2,109.9,0
F,3,110.0,0
F,4,110.2,0
F,5,109.9,0
F,6,110.0,0
F,7,110.2,0
F,8,109.9,0
F,9,110.0,0
F,10,110.2,0
F,11,109.9,0
F,12,110.0,0
F,13,110.2,0
F,14,109.9,0
F,15,110.0,0
F,16,110.2,0
F,17,109.9,0
G,0,130.0,0
G,1,130.2,0
G,2,129.9,0
G,3,130.0,0
G,4,130.2,0
G,5,129.9,0
G,6,130.0,0
G,7,130.2,0
G,8,129.9,0
G,9,130.0,0
G,10,130.2,0
G,11,129.9,0
G,12,130.0,0
G,13,130.2,0
G,14,129.9,0
G,15,130.0,0
G,16,130.2,0
G,17,129.9,0
H,0,150.0,1
H,1,150.2,1
H,2,149.9,1
H,3,150.0,1
H,4,150.2,1
H,5,149.9,1
H,6,150.0,1
H,7,150.2,1
H,8,149.9,1
H,9,150.0,1
H,10,150.2,1
H,11,149.9,1
H,12,150.0,1
H,13,150.2,1
H,14,149.9,1
H,15,150.0,1
H,16,150.2,1
H,17,149.9,1
